subject	who	net	comparison	value
0	model	3	1	0.0
1	model	3	1	0.0
2	model	3	1	0.0
3	model	3	1	0.0
4	model	3	1	0.0
5	model	3	1	0.0
6	model	3	1	0.0
7	model	3	1	0.0
8	model	3	1	0.0
9	model	3	1	0.0
10	model	3	1	0.0
11	model	3	1	0.0
12	model	3	1	0.0
13	model	3	1	0.0
14	model	3	1	0.0
15	model	3	1	0.0
16	model	3	1	0.0
17	model	3	1	0.0
18	model	3	1	0.0
19	model	3	1	0.0
20	model	3	1	0.0
21	model	3	1	0.0
22	model	3	1	0.0
23	model	3	1	0.0
24	model	3	1	0.0
0	model	3	0.5	-0.0037196821662019985
1	model	3	0.5	-0.0376849496213717
2	model	3	0.5	-0.04060262553211169
3	model	3	0.5	-0.06502440961171463
4	model	3	0.5	-0.05077182432363203
5	model	3	0.5	-0.037075667298038906
6	model	3	0.5	-0.02100978432170797
7	model	3	0.5	-0.039685207982616766
8	model	3	0.5	-0.028381264468717027
9	model	3	0.5	-0.021045450307654034
10	model	3	0.5	-0.06499477832545097
11	model	3	0.5	-0.0506957774171759
12	model	3	0.5	-0.030750827733812214
13	model	3	0.5	-0.033557737608456595
14	model	3	0.5	-0.03548634369883341
15	model	3	0.5	-0.029664458963493567
16	model	3	0.5	-0.039913869128280655
17	model	3	0.5	-0.03456441273765887
18	model	3	0.5	-0.06578376848632128
19	model	3	0.5	-0.011873043760750157
20	model	3	0.5	-0.07030209298153134
21	model	3	0.5	-0.05425459885943407
22	model	3	0.5	-0.030050203776541218
23	model	3	0.5	-0.03083636114245758
24	model	3	0.5	-0.026098190430877466
0	model	3	0.4	-0.0008864643382451298
1	model	3	0.4	-0.05427445851252111
2	model	3	0.4	-0.0644303101743835
3	model	3	0.4	-0.07764147297640134
4	model	3	0.4	-0.0601248465558627
5	model	3	0.4	-0.05510482957122198
6	model	3	0.4	-0.044523574117509956
7	model	3	0.4	-0.06419436894391106
8	model	3	0.4	-0.04776318790976031
9	model	3	0.4	-0.024406513694409715
10	model	3	0.4	-0.07248101116373862
11	model	3	0.4	-0.062231362890499575
12	model	3	0.4	-0.05165551885551689
13	model	3	0.4	-0.030938187405909034
14	model	3	0.4	-0.04506536933843197
15	model	3	0.4	-0.056005550165688645
16	model	3	0.4	-0.04885003916929276
17	model	3	0.4	-0.052448847322097314
18	model	3	0.4	-0.07529020229117966
19	model	3	0.4	-0.011471602392100433
20	model	3	0.4	-0.087413444858508
21	model	3	0.4	-0.08069444713413942
22	model	3	0.4	-0.049131352506559645
23	model	3	0.4	-0.04100057619148323
24	model	3	0.4	-0.06089408793317064
0	model	3	0.1	-0.020798458231881423
1	model	3	0.1	-0.15312237321627542
2	model	3	0.1	-0.3784829140261159
3	model	3	0.1	-0.2584240005844346
4	model	3	0.1	-0.18164989031626688
5	model	3	0.1	-0.21982606539345828
6	model	3	0.1	-0.30443565620718704
7	model	3	0.1	-0.1703860227086318
8	model	3	0.1	-0.16581078959392115
9	model	3	0.1	-0.22554244715895144
10	model	3	0.1	-0.2791393506699851
11	model	3	0.1	-0.2793868123544804
12	model	3	0.1	-0.19728329623294039
13	model	3	0.1	-0.10994449594695899
14	model	3	0.1	-0.19652054613368375
15	model	3	0.1	-0.2627443311434189
16	model	3	0.1	-0.19885747164312917
17	model	3	0.1	-0.1549994085210824
18	model	3	0.1	-0.2641535591720724
19	model	3	0.1	-0.0603379833909895
20	model	3	0.1	-0.2799368908595766
21	model	3	0.1	-0.23582272530284087
22	model	3	0.1	-0.11357871624308469
23	model	3	0.1	-0.12985612577310746
24	model	3	0.1	-0.18081395789792665
0	model	3	0.05	-0.043188568892298385
1	model	3	0.05	-0.24937821432721485
2	model	3	0.05	-0.48836812784166017
3	model	3	0.05	-0.3633124289025158
4	model	3	0.05	-0.2687200265797902
5	model	3	0.05	-0.3423618312885294
6	model	3	0.05	-0.5313521908207981
7	model	3	0.05	-0.29786471502805145
8	model	3	0.05	-0.3301258440911403
9	model	3	0.05	-0.40883646466805923
10	model	3	0.05	-0.42113911626706146
11	model	3	0.05	-0.4183905209769143
12	model	3	0.05	-0.35683044168655276
13	model	3	0.05	-0.18085921749494693
14	model	3	0.05	-0.28967347355684214
15	model	3	0.05	-0.42798523372405484
16	model	3	0.05	-0.2796042893591695
17	model	3	0.05	-0.23024304905540915
18	model	3	0.05	-0.36293979581099545
19	model	3	0.05	-0.12569742693482733
20	model	3	0.05	-0.39445907527669044
21	model	3	0.05	-0.326601783836201
22	model	3	0.05	-0.17215828200790972
23	model	3	0.05	-0.2907625773707867
24	model	3	0.05	-0.2692723215612258
