subject	who	net	comparison	value
0	model	9	0.0010	0.007625790421297296
1	model	9	0.0010	-0.0037408738151936127
2	model	9	0.0010	0.0015522443310622691
3	model	9	0.0010	-0.012990069083360978
4	model	9	0.0010	0.0010237733437226115
5	model	9	0.0010	-0.007709306313793629
6	model	9	0.0010	0.007952398164846608
7	model	9	0.0010	0.0023506710955857324
8	model	9	0.0010	-0.002035340816390563
9	model	9	0.0010	-0.002866798369590917
10	model	9	0.0010	-0.004426860672388955
11	model	9	0.0010	-0.012572359825872126
12	model	9	0.0010	0.007183273510581234
13	model	9	0.0010	0.006937827113918216
14	model	9	0.0010	0.0027473724316909864
15	model	9	0.0010	-0.010776727398352892
16	model	9	0.0010	-0.0001948667845321772
17	model	9	0.0010	0.010554859857879961
18	model	9	0.0010	-0.0001251383394795802
19	model	9	0.0010	0.0037791504034278
20	model	9	0.0010	0.0010515941218439684
21	model	9	0.0010	-0.005910958372419506
22	model	9	0.0010	-0.0004816491347228169
23	model	9	0.0010	0.006432550282118976
24	model	9	0.0010	0.006793516145982448
0	model	9	0.0020	0.00012508528790444728
1	model	9	0.0020	-0.011380940371032988
2	model	9	0.0020	-0.02791308797368608
3	model	9	0.0020	-0.060963514652541795
4	model	9	0.0020	-0.03953929221509278
5	model	9	0.0020	-0.026485812175171652
6	model	9	0.0020	-0.006019042543056408
7	model	9	0.0020	-0.025103514848749064
8	model	9	0.0020	-0.0444080624777603
9	model	9	0.0020	-0.02544631863986979
10	model	9	0.0020	-0.04009215694171464
11	model	9	0.0020	-0.040045782187030365
12	model	9	0.0020	-0.031998047985220546
13	model	9	0.0020	-0.014972265270605356
14	model	9	0.0020	-0.03149936865923564
15	model	9	0.0020	-0.06585546856881241
16	model	9	0.0020	-0.013901058632686536
17	model	9	0.0020	-0.017038029743817185
18	model	9	0.0020	-0.04323515085476315
19	model	9	0.0020	-0.02039056276527118
20	model	9	0.0020	-0.038782921902285716
21	model	9	0.0020	-0.05216651122872684
22	model	9	0.0020	-0.010018419042166826
23	model	9	0.0020	-0.029108203553420142
24	model	9	0.0020	-0.032129308114823174
0	model	9	0.0025	-0.0075827930447472935
1	model	9	0.0025	-0.016135998277642227
2	model	9	0.0025	-0.056682200549860506
3	model	9	0.0025	-0.09605918209024733
4	model	9	0.0025	-0.04971702757343943
5	model	9	0.0025	-0.017784507490702484
6	model	9	0.0025	-0.012718392014242297
7	model	9	0.0025	-0.03125340919529118
8	model	9	0.0025	-0.050456308328485244
9	model	9	0.0025	-0.03853260892263366
10	model	9	0.0025	-0.057751660812003
11	model	9	0.0025	-0.03815653819046583
12	model	9	0.0025	-0.046784523273100787
13	model	9	0.0025	-0.036476253020059635
14	model	9	0.0025	-0.04304234732452894
15	model	9	0.0025	-0.05124930064909039
16	model	9	0.0025	-0.03417633308362378
17	model	9	0.0025	-0.020501613299358734
18	model	9	0.0025	-0.06525502316677134
19	model	9	0.0025	-0.016479356343515272
20	model	9	0.0025	-0.06193590279080985
21	model	9	0.0025	-0.059464893246030104
22	model	9	0.0025	-0.021020275402490518
23	model	9	0.0025	-0.019197734753840123
24	model	9	0.0025	-0.0334357585269629
0	model	9	0.0100	-0.041283056160765774
1	model	9	0.0100	-0.11444387076785045
2	model	9	0.0100	-0.2893046799977027
3	model	9	0.0100	-0.2928653113720099
4	model	9	0.0100	-0.17027820458756382
5	model	9	0.0100	-0.1425311606889793
6	model	9	0.0100	-0.2060617329867881
7	model	9	0.0100	-0.2157728585954657
8	model	9	0.0100	-0.22072041681057675
9	model	9	0.0100	-0.20024481314535136
10	model	9	0.0100	-0.26368006233892693
11	model	9	0.0100	-0.23611317261062714
12	model	9	0.0100	-0.2039584995146424
13	model	9	0.0100	-0.12863611776026518
14	model	9	0.0100	-0.2380730777250546
15	model	9	0.0100	-0.30235886925331845
16	model	9	0.0100	-0.11891150300131736
17	model	9	0.0100	-0.13442867114030754
18	model	9	0.0100	-0.20669681812473462
19	model	9	0.0100	-0.14862260723299747
20	model	9	0.0100	-0.298631147727932
21	model	9	0.0100	-0.18955267535259723
22	model	9	0.0100	-0.155388646602862
23	model	9	0.0100	-0.15207748021088197
24	model	9	0.0100	-0.1723312439606295
0	model	9	0.0200	-0.08429737591806241
1	model	9	0.0200	-0.19770370903418955
2	model	9	0.0200	-0.43657363008296324
3	model	9	0.0200	-0.3865926492705336
4	model	9	0.0200	-0.2316919216158514
5	model	9	0.0200	-0.29222290383858895
6	model	9	0.0200	-0.3914432806148439
7	model	9	0.0200	-0.29980965076424637
8	model	9	0.0200	-0.4691078099839501
9	model	9	0.0200	-0.242604538982923
10	model	9	0.0200	-0.38501743587289705
11	model	9	0.0200	-0.45106168468630636
12	model	9	0.0200	-0.36981122586389736
13	model	9	0.0200	-0.1880816695877915
14	model	9	0.0200	-0.3215245839530819
15	model	9	0.0200	-0.46266089506784025
16	model	9	0.0200	-0.3001932393286484
17	model	9	0.0200	-0.2565287742241057
18	model	9	0.0200	-0.3443083909299911
19	model	9	0.0200	-0.21652983485563737
20	model	9	0.0200	-0.35728957796033545
21	model	9	0.0200	-0.33144856753811125
22	model	9	0.0200	-0.18264879047543958
23	model	9	0.0200	-0.37786112785728876
24	model	9	0.0200	-0.26730348340294874
