subject	who	net	comparison	value
0	model	6	1	0.0
1	model	6	1	0.0
2	model	6	1	0.0
3	model	6	1	0.0
4	model	6	1	0.0
5	model	6	1	0.0
6	model	6	1	0.0
7	model	6	1	0.0
8	model	6	1	0.0
9	model	6	1	0.0
10	model	6	1	0.0
11	model	6	1	0.0
12	model	6	1	0.0
13	model	6	1	0.0
14	model	6	1	0.0
15	model	6	1	0.0
16	model	6	1	0.0
17	model	6	1	0.0
18	model	6	1	0.0
19	model	6	1	0.0
20	model	6	1	0.0
21	model	6	1	0.0
22	model	6	1	0.0
23	model	6	1	0.0
24	model	6	1	0.0
0	model	6	0.5	-0.009118799854884618
1	model	6	0.5	-0.030445451335515128
2	model	6	0.5	-0.051671878742839183
3	model	6	0.5	-0.061992888102593624
4	model	6	0.5	-0.04025206272692439
5	model	6	0.5	-0.04136304793669765
6	model	6	0.5	-0.039635634755533
7	model	6	0.5	-0.04095296912954138
8	model	6	0.5	-0.05065400804460418
9	model	6	0.5	-0.0391145529211665
10	model	6	0.5	-0.0627644472429687
11	model	6	0.5	-0.0551308379976575
12	model	6	0.5	-0.06334863419812264
13	model	6	0.5	-0.027924610550216222
14	model	6	0.5	-0.035987171897250425
15	model	6	0.5	-0.055498230876058985
16	model	6	0.5	-0.03408764970676936
17	model	6	0.5	-0.03436326326309447
18	model	6	0.5	-0.060925015661627
19	model	6	0.5	-0.022455175897200697
20	model	6	0.5	-0.05458008417237303
21	model	6	0.5	-0.05471933563923681
22	model	6	0.5	-0.015847799655646866
23	model	6	0.5	-0.04383615997202961
24	model	6	0.5	-0.02283008940321718
0	model	6	0.4	-0.02861287766799725
1	model	6	0.4	-0.035725257627494234
2	model	6	0.4	-0.08259318163397322
3	model	6	0.4	-0.07922248243640984
4	model	6	0.4	-0.05701330246986369
5	model	6	0.4	-0.05589921342877602
6	model	6	0.4	-0.04879497050615811
7	model	6	0.4	-0.06471694671152117
8	model	6	0.4	-0.06083455038570229
9	model	6	0.4	-0.05484217144525605
10	model	6	0.4	-0.09126481992333235
11	model	6	0.4	-0.07257361092255887
12	model	6	0.4	-0.09774155646972926
13	model	6	0.4	-0.04577472565496332
14	model	6	0.4	-0.0645611327674166
15	model	6	0.4	-0.0847489052116076
16	model	6	0.4	-0.055486446666557665
17	model	6	0.4	-0.0493710155123972
18	model	6	0.4	-0.09339840523985687
19	model	6	0.4	-0.032533896218928104
20	model	6	0.4	-0.07788908998464317
21	model	6	0.4	-0.0818968131747555
22	model	6	0.4	-0.04813241194099904
23	model	6	0.4	-0.0464169554384366
24	model	6	0.4	-0.04425875617245645
0	model	6	0.1	-0.10318753366140576
1	model	6	0.1	-0.18746203653007332
2	model	6	0.1	-0.3368744113914409
3	model	6	0.1	-0.2782057103238482
4	model	6	0.1	-0.22086344247053002
5	model	6	0.1	-0.24787759071381388
6	model	6	0.1	-0.30377099416438136
7	model	6	0.1	-0.28509159183935795
8	model	6	0.1	-0.3633350381158821
9	model	6	0.1	-0.2646384881627404
10	model	6	0.1	-0.39841687933405046
11	model	6	0.1	-0.3222245846892887
12	model	6	0.1	-0.36711654219921996
13	model	6	0.1	-0.18479370968811304
14	model	6	0.1	-0.27477543557854955
15	model	6	0.1	-0.4016389755122808
16	model	6	0.1	-0.2574172647972969
17	model	6	0.1	-0.21545687673228042
18	model	6	0.1	-0.2795679958405781
19	model	6	0.1	-0.13004065625012007
20	model	6	0.1	-0.3076311702482595
21	model	6	0.1	-0.3754910455231577
22	model	6	0.1	-0.20786590969993868
23	model	6	0.1	-0.2786452040565759
24	model	6	0.1	-0.2770541414166309
0	model	6	0.05	-0.20152896232616113
1	model	6	0.05	-0.3038669068605342
2	model	6	0.05	-0.48610272560658796
3	model	6	0.05	-0.38485210292475813
4	model	6	0.05	-0.3320731174142484
5	model	6	0.05	-0.40487625492175805
6	model	6	0.05	-0.4815973897058914
7	model	6	0.05	-0.453572640248152
8	model	6	0.05	-0.5890121191804357
9	model	6	0.05	-0.49052168079037617
10	model	6	0.05	-0.5676177141824537
11	model	6	0.05	-0.4983841683186556
12	model	6	0.05	-0.5717857415872905
13	model	6	0.05	-0.2976447226861112
14	model	6	0.05	-0.43862085510889326
15	model	6	0.05	-0.6276394227933781
16	model	6	0.05	-0.4631669975050243
17	model	6	0.05	-0.35080258025548416
18	model	6	0.05	-0.40813577259121137
19	model	6	0.05	-0.1946234731166332
20	model	6	0.05	-0.4189346533294941
21	model	6	0.05	-0.5543674389465172
22	model	6	0.05	-0.3194501139458562
23	model	6	0.05	-0.5211202027281413
24	model	6	0.05	-0.47228278044204475
