subject	who	net	comparison	value
0	model	0	0.0010	0.008086290954958497
1	model	0	0.0010	0.01265422926554638
2	model	0	0.0010	0.006511152043949919
3	model	0	0.0010	-0.007726803895233614
4	model	0	0.0010	0.0018111414243608959
5	model	0	0.0010	0.010013759146387802
6	model	0	0.0010	-0.007476988073492397
7	model	0	0.0010	0.010761502615757035
8	model	0	0.0010	0.008700748114175205
9	model	0	0.0010	-0.0042995009483388635
10	model	0	0.0010	-0.009602308335587617
11	model	0	0.0010	-0.006434588520037199
12	model	0	0.0010	0.006667791628277686
13	model	0	0.0010	0.014278435128802003
14	model	0	0.0010	0.002004405680650412
15	model	0	0.0010	-0.016417640225593777
16	model	0	0.0010	0.0018051936265444102
17	model	0	0.0010	0.005938587480197821
18	model	0	0.0010	-0.006444252643516335
19	model	0	0.0010	-0.013487973558444555
20	model	0	0.0010	-0.010150484560751738
21	model	0	0.0010	-0.01551866608578134
22	model	0	0.0010	0.01507330304437371
23	model	0	0.0010	-0.005203683771434764
24	model	0	0.0010	-0.012983948531629097
0	model	0	0.0020	-0.010338880951548002
1	model	0	0.0020	-0.015356526844701013
2	model	0	0.0020	-0.03510436191609656
3	model	0	0.0020	-0.047341339234590385
4	model	0	0.0020	-0.013283455191732574
5	model	0	0.0020	-0.034475232529385336
6	model	0	0.0020	-0.050136524871134514
7	model	0	0.0020	-0.023929345850278283
8	model	0	0.0020	-0.029029039854427285
9	model	0	0.0020	-0.046610738064110646
10	model	0	0.0020	-0.04652431848274241
11	model	0	0.0020	-0.057540840724566555
12	model	0	0.0020	-0.039971009324452744
13	model	0	0.0020	-0.019214819699753694
14	model	0	0.0020	-0.045387185128100915
15	model	0	0.0020	-0.03709102810492848
16	model	0	0.0020	-0.04215096038366628
17	model	0	0.0020	-0.01390347100028988
18	model	0	0.0020	-0.040129422995174746
19	model	0	0.0020	-0.012824293088620875
20	model	0	0.0020	-0.05352256479289619
21	model	0	0.0020	-0.04001803315528196
22	model	0	0.0020	-0.028990145035451498
23	model	0	0.0020	-0.04275472467643704
24	model	0	0.0020	-0.019784366944483378
0	model	0	0.0025	-0.015050991423238513
1	model	0	0.0025	-0.018818433818234115
2	model	0	0.0025	-0.06029116774773946
3	model	0	0.0025	-0.0783322700035749
4	model	0	0.0025	-0.03158619532719931
5	model	0	0.0025	-0.05098636330907391
6	model	0	0.0025	-0.04791555531880631
7	model	0	0.0025	-0.0568332466943946
8	model	0	0.0025	-0.046270586696923965
9	model	0	0.0025	-0.06583444738371269
10	model	0	0.0025	-0.06833412802403749
11	model	0	0.0025	-0.04375237182905667
12	model	0	0.0025	-0.08269002099249811
13	model	0	0.0025	-0.027470124456853373
14	model	0	0.0025	-0.0551760883743444
15	model	0	0.0025	-0.06460355505065196
16	model	0	0.0025	-0.03765658765079005
17	model	0	0.0025	-0.022057534895150943
18	model	0	0.0025	-0.055465542331808004
19	model	0	0.0025	-0.010875427226856527
20	model	0	0.0025	-0.07554340415786431
21	model	0	0.0025	-0.04154674453673912
22	model	0	0.0025	-0.0371722557263412
23	model	0	0.0025	-0.06535553954787121
24	model	0	0.0025	-0.05474779122359119
0	model	0	0.0100	-0.0866378869391824
1	model	0	0.0100	-0.13507314628367717
2	model	0	0.0100	-0.2630843857633729
3	model	0	0.0100	-0.26709064887375644
4	model	0	0.0100	-0.12317018544211866
5	model	0	0.0100	-0.19509394377801959
6	model	0	0.0100	-0.21445054141637943
7	model	0	0.0100	-0.14866163217065187
8	model	0	0.0100	-0.2328187866434589
9	model	0	0.0100	-0.26731878392132835
10	model	0	0.0100	-0.28756042882495836
11	model	0	0.0100	-0.2558054935376364
12	model	0	0.0100	-0.26521533797122765
13	model	0	0.0100	-0.12418367381098627
14	model	0	0.0100	-0.19185459234768087
15	model	0	0.0100	-0.31351945711536655
16	model	0	0.0100	-0.2245281559926975
17	model	0	0.0100	-0.14067706270908775
18	model	0	0.0100	-0.22461821068754928
19	model	0	0.0100	-0.07790541626121938
20	model	0	0.0100	-0.26480582370579486
21	model	0	0.0100	-0.24859604054005768
22	model	0	0.0100	-0.20293539071392142
23	model	0	0.0100	-0.17415882976500174
24	model	0	0.0100	-0.21180940198913012
0	model	0	0.0200	-0.13322886822584823
1	model	0	0.0200	-0.24952070193365972
2	model	0	0.0200	-0.37369647695565666
3	model	0	0.0200	-0.3698250883537193
4	model	0	0.0200	-0.21053536975724307
5	model	0	0.0200	-0.2624818535682224
6	model	0	0.0200	-0.41882266876220997
7	model	0	0.0200	-0.35384839345860875
8	model	0	0.0200	-0.3157293143398655
9	model	0	0.0200	-0.47716017532790445
10	model	0	0.0200	-0.41192973788812837
11	model	0	0.0200	-0.4052326903951394
12	model	0	0.0200	-0.38825904266332023
13	model	0	0.0200	-0.18071806977887694
14	model	0	0.0200	-0.3505850335964379
15	model	0	0.0200	-0.502922542609993
16	model	0	0.0200	-0.2873121087396905
17	model	0	0.0200	-0.2579106044867513
18	model	0	0.0200	-0.3079761113543926
19	model	0	0.0200	-0.16969377018891563
20	model	0	0.0200	-0.37694877780855096
21	model	0	0.0200	-0.43165719329701735
22	model	0	0.0200	-0.21084805277373442
23	model	0	0.0200	-0.3309889183446596
24	model	0	0.0200	-0.2576289993145795
