subject	who	net	comparison	value
0	model	6	0.0010	-0.0020345989419457977
1	model	6	0.0010	-0.0035691211540777035
2	model	6	0.0010	0.0005557575470467313
3	model	6	0.0010	-0.0054796905820935216
4	model	6	0.0010	0.0031119293067660703
5	model	6	0.0010	-0.0042548786955651785
6	model	6	0.0010	-0.01566963697770063
7	model	6	0.0010	0.001538397207361597
8	model	6	0.0010	-0.019876138277566846
9	model	6	0.0010	-0.0011651634701212998
10	model	6	0.0010	-0.003927470740836547
11	model	6	0.0010	-0.0055900140404838705
12	model	6	0.0010	-0.0163382571090942
13	model	6	0.0010	-0.0046185999504003705
14	model	6	0.0010	-0.005425545825499256
15	model	6	0.0010	-0.0004748636199694012
16	model	6	0.0010	0.0023673434400741655
17	model	6	0.0010	-0.005020996412772427
18	model	6	0.0010	-0.0058280539482289395
19	model	6	0.0010	-0.0020149125821402603
20	model	6	0.0010	0.007460006667024177
21	model	6	0.0010	-0.0059612489127811585
22	model	6	0.0010	-0.013345728025751846
23	model	6	0.0010	0.005357362756203576
24	model	6	0.0010	0.0027856502185643617
0	model	6	0.0020	-0.03799445969864823
1	model	6	0.0020	-0.04707614278610972
2	model	6	0.0020	-0.05552302331579062
3	model	6	0.0020	-0.06160295564958873
4	model	6	0.0020	-0.036306097027062445
5	model	6	0.0020	-0.036463891048814645
6	model	6	0.0020	-0.05779579439330351
7	model	6	0.0020	-0.059410361256646005
8	model	6	0.0020	-0.06970725434644154
9	model	6	0.0020	-0.027164324823144348
10	model	6	0.0020	-0.05838389817740308
11	model	6	0.0020	-0.04967620851732846
12	model	6	0.0020	-0.08136568417720413
13	model	6	0.0020	-0.04834187774925791
14	model	6	0.0020	-0.0523318904512462
15	model	6	0.0020	-0.054291974117320674
16	model	6	0.0020	-0.03646704178025717
17	model	6	0.0020	-0.01681967804567419
18	model	6	0.0020	-0.06069606874471423
19	model	6	0.0020	-0.021163428831920017
20	model	6	0.0020	-0.06678661599900393
21	model	6	0.0020	-0.0404735572707029
22	model	6	0.0020	-0.02221318075115819
23	model	6	0.0020	-0.03494151594716066
24	model	6	0.0020	-0.02792219488656844
0	model	6	0.0025	-0.014959735593835122
1	model	6	0.0025	-0.06016837045421286
2	model	6	0.0025	-0.10032635616846897
3	model	6	0.0025	-0.08785861689664554
4	model	6	0.0025	-0.0554681100115455
5	model	6	0.0025	-0.07159826294067184
6	model	6	0.0025	-0.07087754485003084
7	model	6	0.0025	-0.0496370608427702
8	model	6	0.0025	-0.08657969605661253
9	model	6	0.0025	-0.064256488230644
10	model	6	0.0025	-0.09147450702333282
11	model	6	0.0025	-0.07134337369537036
12	model	6	0.0025	-0.06781508931496305
13	model	6	0.0025	-0.0536197491945094
14	model	6	0.0025	-0.07524469935169431
15	model	6	0.0025	-0.11629000894224206
16	model	6	0.0025	-0.05475287050220268
17	model	6	0.0025	-0.04998829412668537
18	model	6	0.0025	-0.09447006923316237
19	model	6	0.0025	-0.027232275115533167
20	model	6	0.0025	-0.08163023700904048
21	model	6	0.0025	-0.07513335902061002
22	model	6	0.0025	-0.06623100421904815
23	model	6	0.0025	-0.033096135048781505
24	model	6	0.0025	-0.049512162104907165
0	model	6	0.0100	-0.09393772860126293
1	model	6	0.0100	-0.20463717831001238
2	model	6	0.0100	-0.3435356986774286
3	model	6	0.0100	-0.28476936212851434
4	model	6	0.0100	-0.23266043380888457
5	model	6	0.0100	-0.2872205773104418
6	model	6	0.0100	-0.3605550204554433
7	model	6	0.0100	-0.30239799928676014
8	model	6	0.0100	-0.42714531008069334
9	model	6	0.0100	-0.3545641313974134
10	model	6	0.0100	-0.37170595576759835
11	model	6	0.0100	-0.3219537925855488
12	model	6	0.0100	-0.34096744265980394
13	model	6	0.0100	-0.1972568766479852
14	model	6	0.0100	-0.31297446572465426
15	model	6	0.0100	-0.4194197123219692
16	model	6	0.0100	-0.23619702270872167
17	model	6	0.0100	-0.20204780304112746
18	model	6	0.0100	-0.27569685998533666
19	model	6	0.0100	-0.13524829884374634
20	model	6	0.0100	-0.3074712161007894
21	model	6	0.0100	-0.3569574432450796
22	model	6	0.0100	-0.19515582631623585
23	model	6	0.0100	-0.3148143954164031
24	model	6	0.0100	-0.2764500417853092
0	model	6	0.0200	-0.18394561412466548
1	model	6	0.0200	-0.3171043471024696
2	model	6	0.0200	-0.4921213591297483
3	model	6	0.0200	-0.4020012992934783
4	model	6	0.0200	-0.3468453693991551
5	model	6	0.0200	-0.38935851588580206
6	model	6	0.0200	-0.4932798468060462
7	model	6	0.0200	-0.515071856356301
8	model	6	0.0200	-0.5620674758883836
9	model	6	0.0200	-0.3978771159966088
10	model	6	0.0200	-0.6010048781917621
11	model	6	0.0200	-0.5059558288478774
12	model	6	0.0200	-0.5387357390750926
13	model	6	0.0200	-0.24658485017317355
14	model	6	0.0200	-0.3846877603684572
15	model	6	0.0200	-0.5603844866864863
16	model	6	0.0200	-0.4084512137065056
17	model	6	0.0200	-0.3431067699212018
18	model	6	0.0200	-0.38984433378730976
19	model	6	0.0200	-0.18568168391899087
20	model	6	0.0200	-0.4044247379407102
21	model	6	0.0200	-0.546201735759095
22	model	6	0.0200	-0.38256646597217625
23	model	6	0.0200	-0.5426561287893886
24	model	6	0.0200	-0.4244118974394603
