subject	who	net	comparison	value
0	model	5	1	0.0
1	model	5	1	0.0
2	model	5	1	0.0
3	model	5	1	0.0
4	model	5	1	0.0
5	model	5	1	0.0
6	model	5	1	0.0
7	model	5	1	0.0
8	model	5	1	0.0
9	model	5	1	0.0
10	model	5	1	0.0
11	model	5	1	0.0
12	model	5	1	0.0
13	model	5	1	0.0
14	model	5	1	0.0
15	model	5	1	0.0
16	model	5	1	0.0
17	model	5	1	0.0
18	model	5	1	0.0
19	model	5	1	0.0
20	model	5	1	0.0
21	model	5	1	0.0
22	model	5	1	0.0
23	model	5	1	0.0
24	model	5	1	0.0
0	model	5	0.5	-0.021603460849660694
1	model	5	0.5	-0.04517627821334025
2	model	5	0.5	-0.07012137815332742
3	model	5	0.5	-0.07533027666769554
4	model	5	0.5	-0.04659620299605771
5	model	5	0.5	-0.035056869700034854
6	model	5	0.5	-0.058919963037806
7	model	5	0.5	-0.05439980973902736
8	model	5	0.5	-0.028552618127995033
9	model	5	0.5	-0.002131105423112345
10	model	5	0.5	-0.06819878585124073
11	model	5	0.5	-0.058384186548477324
12	model	5	0.5	-0.049513242965459
13	model	5	0.5	-0.03175683218257419
14	model	5	0.5	-0.03404488829784136
15	model	5	0.5	-0.041266563756893526
16	model	5	0.5	-0.03242328294927721
17	model	5	0.5	-0.039182222704458036
18	model	5	0.5	-0.046109673842985255
19	model	5	0.5	-0.01699567969626048
20	model	5	0.5	-0.07076273004871769
21	model	5	0.5	-0.05719187788862967
22	model	5	0.5	-0.020872100837938445
23	model	5	0.5	-0.031711240945510366
24	model	5	0.5	-0.027530994969333422
0	model	5	0.4	-0.028526545827559868
1	model	5	0.4	-0.0717690993802178
2	model	5	0.4	-0.10906393347820043
3	model	5	0.4	-0.09860354863763232
4	model	5	0.4	-0.07552857043993688
5	model	5	0.4	-0.04951579619694879
6	model	5	0.4	-0.08335031933021653
7	model	5	0.4	-0.07460239084669917
8	model	5	0.4	-0.048215599391497
9	model	5	0.4	-0.01704139041477748
10	model	5	0.4	-0.08998881517850488
11	model	5	0.4	-0.07597161542737485
12	model	5	0.4	-0.07356673923455492
13	model	5	0.4	-0.030680218224334643
14	model	5	0.4	-0.06234157274929586
15	model	5	0.4	-0.07745932442427439
16	model	5	0.4	-0.04411082685148637
17	model	5	0.4	-0.04829357634010356
18	model	5	0.4	-0.07651946056333658
19	model	5	0.4	-0.03449936590653446
20	model	5	0.4	-0.09437549921563271
21	model	5	0.4	-0.09827162502428344
22	model	5	0.4	-0.03755078272670065
23	model	5	0.4	-0.058988341938689404
24	model	5	0.4	-0.04116627814916485
0	model	5	0.1	-0.10940201796845561
1	model	5	0.1	-0.24742457568114595
2	model	5	0.1	-0.371965404020716
3	model	5	0.1	-0.32638480709142725
4	model	5	0.1	-0.27756008946580457
5	model	5	0.1	-0.2748548098688066
6	model	5	0.1	-0.35206226254745754
7	model	5	0.1	-0.30332900817014175
8	model	5	0.1	-0.31102241063942715
9	model	5	0.1	-0.2230585969678267
10	model	5	0.1	-0.39061248845208907
11	model	5	0.1	-0.34118758925963444
12	model	5	0.1	-0.3196579611431396
13	model	5	0.1	-0.19016403788769587
14	model	5	0.1	-0.28032601623490416
15	model	5	0.1	-0.4100972973577617
16	model	5	0.1	-0.29820782675061797
17	model	5	0.1	-0.2600948454472286
18	model	5	0.1	-0.30043266898683707
19	model	5	0.1	-0.1424309094529015
20	model	5	0.1	-0.3361942883681531
21	model	5	0.1	-0.5037318756011544
22	model	5	0.1	-0.21318968615591127
23	model	5	0.1	-0.38357449377676134
24	model	5	0.1	-0.3056181622135876
0	model	5	0.05	-0.20442760812529726
1	model	5	0.05	-0.37384615527375
2	model	5	0.05	-0.49895945075252024
3	model	5	0.05	-0.428975835624098
4	model	5	0.05	-0.389925986756287
5	model	5	0.05	-0.44089395438027423
6	model	5	0.05	-0.5515454314129121
7	model	5	0.05	-0.48256839310457345
8	model	5	0.05	-0.5037746599542092
9	model	5	0.05	-0.40988166344277854
10	model	5	0.05	-0.5464527628691914
11	model	5	0.05	-0.5131486817904652
12	model	5	0.05	-0.4815333685592036
13	model	5	0.05	-0.3537791778915802
14	model	5	0.05	-0.440428460617596
15	model	5	0.05	-0.6002842493811005
16	model	5	0.05	-0.5039040428034257
17	model	5	0.05	-0.4570761871465301
18	model	5	0.05	-0.4061999262140923
19	model	5	0.05	-0.21224520782459333
20	model	5	0.05	-0.45097641741279604
21	model	5	0.05	-0.6602029050096601
22	model	5	0.05	-0.3823898176705147
23	model	5	0.05	-0.665416111050678
24	model	5	0.05	-0.533684840088589
