subject	who	net	comparison	value
0	model	3	0.0010	-0.005714536760311417
1	model	3	0.0010	-0.00475961727496832
2	model	3	0.0010	0.009155399128461972
3	model	3	0.0010	-0.001927412841693954
4	model	3	0.0010	0.0017283899419825444
5	model	3	0.0010	0.013206780320835887
6	model	3	0.0010	0.0009147891117566864
7	model	3	0.0010	-0.0054185537887702084
8	model	3	0.0010	-0.007417361890036944
9	model	3	0.0010	0.01775128598989162
10	model	3	0.0010	-0.010400448011493424
11	model	3	0.0010	0.011285984017814887
12	model	3	0.0010	0.018839211971975023
13	model	3	0.0010	0.009547802528663607
14	model	3	0.0010	0.02178969440954026
15	model	3	0.0010	0.01566761084263124
16	model	3	0.0010	0.0014893978472496627
17	model	3	0.0010	-0.009658266184527808
18	model	3	0.0010	-0.0032531014397652047
19	model	3	0.0010	0.007797877291036537
20	model	3	0.0010	-0.0049214914456030545
21	model	3	0.0010	-0.011594469261771767
22	model	3	0.0010	0.009249702823252881
23	model	3	0.0010	-0.003419375740645214
24	model	3	0.0010	-0.008056301816601774
0	model	3	0.0020	-0.003247716919242416
1	model	3	0.0020	-0.05349719975824985
2	model	3	0.0020	-0.050245358596257006
3	model	3	0.0020	-0.05404744871218781
4	model	3	0.0020	-0.04978204732586344
5	model	3	0.0020	-0.025955268781631124
6	model	3	0.0020	-0.035967418088388325
7	model	3	0.0020	-0.056841956807324956
8	model	3	0.0020	-0.02696267946055675
9	model	3	0.0020	-0.022309351384951714
10	model	3	0.0020	-0.05316947758867341
11	model	3	0.0020	-0.024722918486669965
12	model	3	0.0020	-0.03652173994531516
13	model	3	0.0020	-0.03165900874099992
14	model	3	0.0020	-0.020080788682623196
15	model	3	0.0020	-0.045026865141372996
16	model	3	0.0020	-0.03626523924455716
17	model	3	0.0020	-0.02724159902214307
18	model	3	0.0020	-0.054972277240391776
19	model	3	0.0020	-0.011485991852206223
20	model	3	0.0020	-0.05506093619038088
21	model	3	0.0020	-0.04153148481006841
22	model	3	0.0020	-0.025711252255126493
23	model	3	0.0020	-0.03373690884925451
24	model	3	0.0020	-0.021521039919847107
0	model	3	0.0025	0.010441371615476425
1	model	3	0.0025	-0.05908985844996528
2	model	3	0.0025	-0.04772341046003947
3	model	3	0.0025	-0.06854064356400402
4	model	3	0.0025	-0.06442568926389303
5	model	3	0.0025	-0.06187307904097206
6	model	3	0.0025	-0.06574656290237801
7	model	3	0.0025	-0.052436841352711094
8	model	3	0.0025	-0.04985795429804196
9	model	3	0.0025	-0.037878760371597875
10	model	3	0.0025	-0.07207241748132132
11	model	3	0.0025	-0.06139096271783906
12	model	3	0.0025	-0.0497201125343838
13	model	3	0.0025	-0.03056983708692851
14	model	3	0.0025	-0.04180075495234303
15	model	3	0.0025	-0.05381545949751665
16	model	3	0.0025	-0.06690944192188164
17	model	3	0.0025	-0.053603318870762084
18	model	3	0.0025	-0.05380912544963645
19	model	3	0.0025	-0.01959293197642642
20	model	3	0.0025	-0.0768600707355045
21	model	3	0.0025	-0.08632287581208387
22	model	3	0.0025	-0.00835540863615003
23	model	3	0.0025	-0.04449575167603548
24	model	3	0.0025	-0.04694599284650658
0	model	3	0.0100	-0.0034545518832943545
1	model	3	0.0100	-0.14572502607234994
2	model	3	0.0100	-0.3520681632684417
3	model	3	0.0100	-0.30369548467626806
4	model	3	0.0100	-0.18492853103611773
5	model	3	0.0100	-0.21120769148297347
6	model	3	0.0100	-0.33321235359193024
7	model	3	0.0100	-0.1834958175426601
8	model	3	0.0100	-0.23741584413836303
9	model	3	0.0100	-0.2508067753320864
10	model	3	0.0100	-0.29703167262374297
11	model	3	0.0100	-0.26807676215315135
12	model	3	0.0100	-0.21930388990059124
13	model	3	0.0100	-0.15334437878611207
14	model	3	0.0100	-0.21316012152124508
15	model	3	0.0100	-0.28509808191776775
16	model	3	0.0100	-0.21168530146994902
17	model	3	0.0100	-0.15385154593216388
18	model	3	0.0100	-0.23317553118188183
19	model	3	0.0100	-0.03839586769105352
20	model	3	0.0100	-0.3247818639945086
21	model	3	0.0100	-0.2478727790468741
22	model	3	0.0100	-0.11892014246039151
23	model	3	0.0100	-0.11931904914875224
24	model	3	0.0100	-0.1946859835914494
0	model	3	0.0200	-0.049781227580155796
1	model	3	0.0200	-0.2478418173570488
2	model	3	0.0200	-0.48128622250852127
3	model	3	0.0200	-0.3801490773608527
4	model	3	0.0200	-0.27709967321470264
5	model	3	0.0200	-0.29731833702760035
6	model	3	0.0200	-0.5035160377277265
7	model	3	0.0200	-0.2674350850163332
8	model	3	0.0200	-0.391365602582573
9	model	3	0.0200	-0.38950120614182726
10	model	3	0.0200	-0.43161108195582787
11	model	3	0.0200	-0.4096767746438609
12	model	3	0.0200	-0.3518967678100161
13	model	3	0.0200	-0.15991621882288032
14	model	3	0.0200	-0.383679191882343
15	model	3	0.0200	-0.38846249517518383
16	model	3	0.0200	-0.28150540761248166
17	model	3	0.0200	-0.2701168255816222
18	model	3	0.0200	-0.31226529178972673
19	model	3	0.0200	-0.13162394200488337
20	model	3	0.0200	-0.4168424455084023
21	model	3	0.0200	-0.3111320884511902
22	model	3	0.0200	-0.20466152834397122
23	model	3	0.0200	-0.260002592737301
24	model	3	0.0200	-0.2210891157289917
