subject	who	net	comparison	value
0	model	7	0.0010	-0.00029292834647098864
1	model	7	0.0010	-0.0037682927044893066
2	model	7	0.0010	0.01349588352371367
3	model	7	0.0010	-0.0008483966487646821
4	model	7	0.0010	0.0011649665987344404
5	model	7	0.0010	-0.004034471892490843
6	model	7	0.0010	0.004812074201830718
7	model	7	0.0010	-0.00019945127484188863
8	model	7	0.0010	-0.002934094366604967
9	model	7	0.0010	0.025069741351657404
10	model	7	0.0010	0.00016201274902150065
11	model	7	0.0010	-0.004968722730168018
12	model	7	0.0010	-0.008075017963145581
13	model	7	0.0010	-0.00873853855218687
14	model	7	0.0010	0.0006139425538947973
15	model	7	0.0010	0.007620507807354793
16	model	7	0.0010	-0.0034657529589564584
17	model	7	0.0010	-0.017097421414747238
18	model	7	0.0010	-0.0010679758144943596
19	model	7	0.0010	-0.001623495232651928
20	model	7	0.0010	0.0006872517596445693
21	model	7	0.0010	-0.004879166768617327
22	model	7	0.0010	0.004141229331471319
23	model	7	0.0010	0.0025350777266127666
24	model	7	0.0010	-0.005527275347124272
0	model	7	0.0020	-0.004570257889082829
1	model	7	0.0020	-0.028689825090029264
2	model	7	0.0020	-0.027599807855731462
3	model	7	0.0020	-0.04058411750204416
4	model	7	0.0020	-0.03684775627359105
5	model	7	0.0020	-0.03988392281261055
6	model	7	0.0020	-0.02276874034975873
7	model	7	0.0020	-0.041078012665498376
8	model	7	0.0020	-0.019160276886261096
9	model	7	0.0020	-0.021455809017900673
10	model	7	0.0020	-0.04441699890573181
11	model	7	0.0020	-0.028495306690586197
12	model	7	0.0020	-0.041256508748363174
13	model	7	0.0020	-0.023127294138723165
14	model	7	0.0020	-0.021517471939726196
15	model	7	0.0020	-0.05629817620778643
16	model	7	0.0020	-0.01133302472647113
17	model	7	0.0020	-0.023318691196377417
18	model	7	0.0020	-0.0444344537752136
19	model	7	0.0020	-0.028842291435566936
20	model	7	0.0020	-0.0499157166640829
21	model	7	0.0020	-0.05468955665847608
22	model	7	0.0020	-0.03381802846452575
23	model	7	0.0020	-0.015419129343401172
24	model	7	0.0020	-0.015210668212188083
0	model	7	0.0025	0.002809976499032807
1	model	7	0.0025	-0.04020685739234009
2	model	7	0.0025	-0.06230593538169371
3	model	7	0.0025	-0.07397143720550792
4	model	7	0.0025	-0.03514045723117554
5	model	7	0.0025	-0.04080106941189221
6	model	7	0.0025	-0.04797198182883455
7	model	7	0.0025	-0.05278084749091305
8	model	7	0.0025	-0.06135034208465295
9	model	7	0.0025	-0.008754120505174212
10	model	7	0.0025	-0.09323970702036177
11	model	7	0.0025	-0.055624118313238435
12	model	7	0.0025	-0.0875781270481274
13	model	7	0.0025	-0.031191451539429926
14	model	7	0.0025	-0.03835606948352699
15	model	7	0.0025	-0.07310592606824484
16	model	7	0.0025	-0.045856737795981095
17	model	7	0.0025	-0.051092353018773684
18	model	7	0.0025	-0.06888616620374544
19	model	7	0.0025	-0.03505765767652935
20	model	7	0.0025	-0.08035865612055171
21	model	7	0.0025	-0.07325333232741538
22	model	7	0.0025	-0.021867769913288426
23	model	7	0.0025	-0.018717944256337327
24	model	7	0.0025	-0.04215196077258099
0	model	7	0.0100	-0.0549433476713187
1	model	7	0.0100	-0.16773247335045927
2	model	7	0.0100	-0.3303538069223003
3	model	7	0.0100	-0.28144705272666437
4	model	7	0.0100	-0.1657606397643474
5	model	7	0.0100	-0.21609336615475738
6	model	7	0.0100	-0.3017171061142686
7	model	7	0.0100	-0.22482299914975667
8	model	7	0.0100	-0.30231980252725343
9	model	7	0.0100	-0.28662687799556175
10	model	7	0.0100	-0.3257493633345355
11	model	7	0.0100	-0.30406155253065803
12	model	7	0.0100	-0.3221297514432948
13	model	7	0.0100	-0.13567351008243156
14	model	7	0.0100	-0.2500358003875951
15	model	7	0.0100	-0.342452102637101
16	model	7	0.0100	-0.21256507305191863
17	model	7	0.0100	-0.1927417323622963
18	model	7	0.0100	-0.24152297487775698
19	model	7	0.0100	-0.13892190218002776
20	model	7	0.0100	-0.27109608987718614
21	model	7	0.0100	-0.27540744832179076
22	model	7	0.0100	-0.18526736724150183
23	model	7	0.0100	-0.2469582956767713
24	model	7	0.0100	-0.17583480322016942
0	model	7	0.0200	-0.10943274048551987
1	model	7	0.0200	-0.29612469882145354
2	model	7	0.0200	-0.44590869408807987
3	model	7	0.0200	-0.4041998351941918
4	model	7	0.0200	-0.254272889272287
5	model	7	0.0200	-0.39263752332764845
6	model	7	0.0200	-0.4687602410169437
7	model	7	0.0200	-0.399813982072185
8	model	7	0.0200	-0.4019552440386822
9	model	7	0.0200	-0.43260133136415424
10	model	7	0.0200	-0.41973318338347143
11	model	7	0.0200	-0.44801860806209115
12	model	7	0.0200	-0.42844627810880853
13	model	7	0.0200	-0.22612932927274387
14	model	7	0.0200	-0.40506233100396116
15	model	7	0.0200	-0.5474387443695735
16	model	7	0.0200	-0.3288129284994663
17	model	7	0.0200	-0.3487745023625942
18	model	7	0.0200	-0.3359149849531958
19	model	7	0.0200	-0.24019079205389127
20	model	7	0.0200	-0.39555017555140515
21	model	7	0.0200	-0.37818606786522724
22	model	7	0.0200	-0.3089780225772172
23	model	7	0.0200	-0.4033202486504064
24	model	7	0.0200	-0.4250107731502124
