subject	who	net	comparison	value
0	model	2	0.0010	0.0016550613570351924
1	model	2	0.0010	0.010070514011980447
2	model	2	0.0010	-0.0011479281869444247
3	model	2	0.0010	-0.005154934256055621
4	model	2	0.0010	-0.009674668769495187
5	model	2	0.0010	0.002044691643570129
6	model	2	0.0010	-0.02357402784888507
7	model	2	0.0010	-0.007365203373406515
8	model	2	0.0010	-0.003307470011738034
9	model	2	0.0010	0.022252247721578966
10	model	2	0.0010	-0.005789194677472964
11	model	2	0.0010	-0.004585109161494683
12	model	2	0.0010	-0.010307014388832081
13	model	2	0.0010	0.007404522772071154
14	model	2	0.0010	0.008737595182714553
15	model	2	0.0010	0.03347340461687198
16	model	2	0.0010	0.0047710808452040565
17	model	2	0.0010	0.017100099923052725
18	model	2	0.0010	-0.0060499456612738145
19	model	2	0.0010	-0.003859392699844588
20	model	2	0.0010	0.005047838991223297
21	model	2	0.0010	0.00485274070482733
22	model	2	0.0010	0.010755733927219069
23	model	2	0.0010	-0.0150499332911459
24	model	2	0.0010	-0.025272245922245973
0	model	2	0.0020	-0.02354018171608563
1	model	2	0.0020	-0.03165017516293711
2	model	2	0.0020	-0.06262097826360125
3	model	2	0.0020	-0.0482863181038109
4	model	2	0.0020	-0.030030685967907034
5	model	2	0.0020	-0.05293327506969392
6	model	2	0.0020	-0.051682763292324796
7	model	2	0.0020	-0.02960697997183459
8	model	2	0.0020	-0.04267468871497804
9	model	2	0.0020	-0.016629208933303552
10	model	2	0.0020	-0.05217503130943213
11	model	2	0.0020	-0.05200634466469589
12	model	2	0.0020	-0.019216341641699386
13	model	2	0.0020	-0.01995866953228409
14	model	2	0.0020	-0.013451957478211152
15	model	2	0.0020	-0.03417776525692884
16	model	2	0.0020	-0.02384888430711518
17	model	2	0.0020	-0.040974212802676435
18	model	2	0.0020	-0.04353109330480043
19	model	2	0.0020	-0.01116930603169608
20	model	2	0.0020	-0.04392738637339799
21	model	2	0.0020	-0.03949671516909348
22	model	2	0.0020	-0.021946129069682074
23	model	2	0.0020	-0.05126328811804115
24	model	2	0.0020	-0.04322709585159712
0	model	2	0.0025	-0.015860393446011423
1	model	2	0.0025	-0.05367135961415592
2	model	2	0.0025	-0.09593656066467215
3	model	2	0.0025	-0.07123219777320311
4	model	2	0.0025	-0.03850564547010615
5	model	2	0.0025	-0.06367137700399728
6	model	2	0.0025	-0.0694373041609716
7	model	2	0.0025	-0.04359654019864123
8	model	2	0.0025	-0.054879631599886736
9	model	2	0.0025	-0.04460296846297285
10	model	2	0.0025	-0.08056729775284777
11	model	2	0.0025	-0.06866149732231508
12	model	2	0.0025	-0.05788399173225445
13	model	2	0.0025	-0.02523113397266341
14	model	2	0.0025	-0.06282851445432203
15	model	2	0.0025	-0.083154465296568
16	model	2	0.0025	-0.0277471426237913
17	model	2	0.0025	-0.044257664715830924
18	model	2	0.0025	-0.0650047303577701
19	model	2	0.0025	-0.012046362811016342
20	model	2	0.0025	-0.07182273432990782
21	model	2	0.0025	-0.059342078644648355
22	model	2	0.0025	-0.03788797762288176
23	model	2	0.0025	-0.030533064491319983
24	model	2	0.0025	-0.05700165164638593
0	model	2	0.0100	-0.09225910378899727
1	model	2	0.0100	-0.18066291860868167
2	model	2	0.0100	-0.288047955106957
3	model	2	0.0100	-0.25926094711154235
4	model	2	0.0100	-0.1737202927759257
5	model	2	0.0100	-0.260177439200569
6	model	2	0.0100	-0.2708442255282779
7	model	2	0.0100	-0.2363690071578497
8	model	2	0.0100	-0.32272549182966137
9	model	2	0.0100	-0.17627127917065366
10	model	2	0.0100	-0.37541042023699445
11	model	2	0.0100	-0.3009314175389537
12	model	2	0.0100	-0.3080933132128638
13	model	2	0.0100	-0.16729634019304307
14	model	2	0.0100	-0.29098695557219434
15	model	2	0.0100	-0.41447384875209814
16	model	2	0.0100	-0.1717320983714664
17	model	2	0.0100	-0.2293929245549312
18	model	2	0.0100	-0.25876366548576524
19	model	2	0.0100	-0.07841222701919826
20	model	2	0.0100	-0.26388067047960717
21	model	2	0.0100	-0.3233606456660052
22	model	2	0.0100	-0.14209961399502302
23	model	2	0.0100	-0.21181263790933946
24	model	2	0.0100	-0.2415336362942827
0	model	2	0.0200	-0.14736237491557846
1	model	2	0.0200	-0.2428549281711465
2	model	2	0.0200	-0.41637171880802504
3	model	2	0.0200	-0.37935240117305424
4	model	2	0.0200	-0.325234109929449
5	model	2	0.0200	-0.4126344419301018
6	model	2	0.0200	-0.4448046678010511
7	model	2	0.0200	-0.45120395795412804
8	model	2	0.0200	-0.516692809786847
9	model	2	0.0200	-0.5026955918912994
10	model	2	0.0200	-0.5442791216368008
11	model	2	0.0200	-0.5255441941850798
12	model	2	0.0200	-0.47392299749631595
13	model	2	0.0200	-0.2913231092993832
14	model	2	0.0200	-0.41524535781541116
15	model	2	0.0200	-0.6042964177104002
16	model	2	0.0200	-0.45582125890276215
17	model	2	0.0200	-0.38372560651738963
18	model	2	0.0200	-0.36219111439437157
19	model	2	0.0200	-0.15552862214628116
20	model	2	0.0200	-0.4254374325154814
21	model	2	0.0200	-0.5007440962419087
22	model	2	0.0200	-0.30921629082461244
23	model	2	0.0200	-0.4115762599574144
24	model	2	0.0200	-0.3390433288792325
