subject	who	net	comparison	value
0	model	1	0.0010	0.004944445467609637
1	model	1	0.0010	0.0005696502214285193
2	model	1	0.0010	0.014791549476347754
3	model	1	0.0010	-0.0004676629880694394
4	model	1	0.0010	-0.01143966527877116
5	model	1	0.0010	0.004270387718360524
6	model	1	0.0010	0.004728306443038566
7	model	1	0.0010	0.007756689184209575
8	model	1	0.0010	-0.0012472338143056927
9	model	1	0.0010	0.0262447666995389
10	model	1	0.0010	-0.012617701127614067
11	model	1	0.0010	-0.02064822627498908
12	model	1	0.0010	0.013819403344053849
13	model	1	0.0010	-0.021219868813168175
14	model	1	0.0010	-0.0033492071552851943
15	model	1	0.0010	0.005630056847132137
16	model	1	0.0010	0.0012226893527306215
17	model	1	0.0010	-0.009252242771511154
18	model	1	0.0010	0.00548773757075538
19	model	1	0.0010	-0.008286247266540148
20	model	1	0.0010	0.014544536723090973
21	model	1	0.0010	-0.00032774436970151033
22	model	1	0.0010	-0.014699926735420754
23	model	1	0.0010	-0.009283352680684032
24	model	1	0.0010	0.011938351332474006
0	model	1	0.0020	-0.006048012589635832
1	model	1	0.0020	-0.02400893285962269
2	model	1	0.0020	-0.06822831215701364
3	model	1	0.0020	-0.03833854547097604
4	model	1	0.0020	-0.030385554202897347
5	model	1	0.0020	-0.026540311989451948
6	model	1	0.0020	-0.05702095360811543
7	model	1	0.0020	-0.01571704098256499
8	model	1	0.0020	-0.040689842152072275
9	model	1	0.0020	-0.03834230502574232
10	model	1	0.0020	-0.06396753871246263
11	model	1	0.0020	-0.09281581224645252
12	model	1	0.0020	-0.04937258744736883
13	model	1	0.0020	-0.028832554151391188
14	model	1	0.0020	-0.05916654572609048
15	model	1	0.0020	-0.04227785351936064
16	model	1	0.0020	0.0011818469411786214
17	model	1	0.0020	-0.03998431265558011
18	model	1	0.0020	-0.027620290253226654
19	model	1	0.0020	-0.010821649947755918
20	model	1	0.0020	-0.023271276556562803
21	model	1	0.0020	-0.04183096199531977
22	model	1	0.0020	-0.02754576383365448
23	model	1	0.0020	-0.04031885647016731
24	model	1	0.0020	-0.015494235460842498
0	model	1	0.0025	-0.01972374022071266
1	model	1	0.0025	-0.023061815525780904
2	model	1	0.0025	-0.06372860297496497
3	model	1	0.0025	-0.05765219583071568
4	model	1	0.0025	-0.02569541202771697
5	model	1	0.0025	-0.03364041724828648
6	model	1	0.0025	-0.07273190568596322
7	model	1	0.0025	-0.04151375132192037
8	model	1	0.0025	-0.08144431700995747
9	model	1	0.0025	-0.04217779598535221
10	model	1	0.0025	-0.08572348252015827
11	model	1	0.0025	-0.08579588335672705
12	model	1	0.0025	-0.06517155816346376
13	model	1	0.0025	-0.04478314680103934
14	model	1	0.0025	-0.06750583132479449
15	model	1	0.0025	-0.08196319733073054
16	model	1	0.0025	-0.03891313143960684
17	model	1	0.0025	-0.05879361543106609
18	model	1	0.0025	-0.04543155069332527
19	model	1	0.0025	-0.015654203130389566
20	model	1	0.0025	-0.05600998226624587
21	model	1	0.0025	-0.040799899417637286
22	model	1	0.0025	-0.056363107439965865
23	model	1	0.0025	-0.058151983627146464
24	model	1	0.0025	-0.05491808574290613
0	model	1	0.0100	-0.042376807832759655
1	model	1	0.0100	-0.17134764117766077
2	model	1	0.0100	-0.3139605415078299
3	model	1	0.0100	-0.23997229254817654
4	model	1	0.0100	-0.15368741335228586
5	model	1	0.0100	-0.2307562936609584
6	model	1	0.0100	-0.2943421283121501
7	model	1	0.0100	-0.2766862199970309
8	model	1	0.0100	-0.35588408412852157
9	model	1	0.0100	-0.36947647910560943
10	model	1	0.0100	-0.35411325195992216
11	model	1	0.0100	-0.32750238834942724
12	model	1	0.0100	-0.2971146395618821
13	model	1	0.0100	-0.1762815151350211
14	model	1	0.0100	-0.2990311348976975
15	model	1	0.0100	-0.37984022510536963
16	model	1	0.0100	-0.20296892110243903
17	model	1	0.0100	-0.23714601697554571
18	model	1	0.0100	-0.2583455303752006
19	model	1	0.0100	-0.10074924055939738
20	model	1	0.0100	-0.26690887058520807
21	model	1	0.0100	-0.327312130435801
22	model	1	0.0100	-0.16400333273454537
23	model	1	0.0100	-0.20399339810986805
24	model	1	0.0100	-0.21655014479496637
0	model	1	0.0200	-0.12083539869945492
1	model	1	0.0200	-0.25396089346524675
2	model	1	0.0200	-0.456404186480606
3	model	1	0.0200	-0.36007993356497914
4	model	1	0.0200	-0.2637063012651082
5	model	1	0.0200	-0.34277860595585274
6	model	1	0.0200	-0.4821926944823338
7	model	1	0.0200	-0.3816879900584508
8	model	1	0.0200	-0.6697754217830978
9	model	1	0.0200	-0.48941622158824727
10	model	1	0.0200	-0.5390469642815621
11	model	1	0.0200	-0.48008495608606316
12	model	1	0.0200	-0.5307596400320599
13	model	1	0.0200	-0.24111121989131057
14	model	1	0.0200	-0.44035876876907887
15	model	1	0.0200	-0.5803888026293079
16	model	1	0.0200	-0.37410116451500464
17	model	1	0.0200	-0.4148178167104748
18	model	1	0.0200	-0.3321981249051069
19	model	1	0.0200	-0.17101091857690054
20	model	1	0.0200	-0.4340368052177538
21	model	1	0.0200	-0.4905777841711706
22	model	1	0.0200	-0.33157400894695066
23	model	1	0.0200	-0.43692311500463077
24	model	1	0.0200	-0.40849999176333407
