subject	who	net	comparison	value
0	model	5	0.0010	0.010175143010371146
1	model	5	0.0010	-0.014928666106327593
2	model	5	0.0010	-0.006702504079576399
3	model	5	0.0010	0.0017862568491450181
4	model	5	0.0010	0.0013914504779650727
5	model	5	0.0010	0.00497125441798052
6	model	5	0.0010	-0.00574902749356121
7	model	5	0.0010	-0.00509446210987996
8	model	5	0.0010	0.001779044696740839
9	model	5	0.0010	-0.002915328291959174
10	model	5	0.0010	-0.008942063827612645
11	model	5	0.0010	0.00718413136766205
12	model	5	0.0010	-0.00855886935046668
13	model	5	0.0010	-0.005587008756558043
14	model	5	0.0010	-0.009168155168924219
15	model	5	0.0010	-0.003540822835021884
16	model	5	0.0010	-0.005735701953921812
17	model	5	0.0010	-0.00035791838702858847
18	model	5	0.0010	0.013164459062435574
19	model	5	0.0010	0.0017681107961508014
20	model	5	0.0010	0.00705653565306108
21	model	5	0.0010	-0.011763162765421997
22	model	5	0.0010	0.002965948615450409
23	model	5	0.0010	-0.010031885729245626
24	model	5	0.0010	0.009870852797102314
0	model	5	0.0020	-0.011977117663110604
1	model	5	0.0020	-0.04310228317705578
2	model	5	0.0020	-0.06963789479754368
3	model	5	0.0020	-0.08116003117914405
4	model	5	0.0020	-0.054534981793448734
5	model	5	0.0020	-0.03575298294409379
6	model	5	0.0020	-0.05735789966759686
7	model	5	0.0020	-0.046994207299170476
8	model	5	0.0020	-0.030761792412364652
9	model	5	0.0020	-0.006802042746397063
10	model	5	0.0020	-0.06643954979236033
11	model	5	0.0020	-0.05463528021595687
12	model	5	0.0020	-0.0573705347564214
13	model	5	0.0020	-0.023691496736109263
14	model	5	0.0020	-0.056398104996720266
15	model	5	0.0020	-0.06893058190826529
16	model	5	0.0020	-0.02858257485986071
17	model	5	0.0020	-0.01928435697816644
18	model	5	0.0020	-0.04069246300165319
19	model	5	0.0020	-0.012915442778013153
20	model	5	0.0020	-0.06075702970619401
21	model	5	0.0020	-0.07449284747020579
22	model	5	0.0020	-0.045925028212925656
23	model	5	0.0020	-0.0223736345829203
24	model	5	0.0020	-0.050722670893679433
0	model	5	0.0025	-0.009334034846146477
1	model	5	0.0025	-0.05025190549684999
2	model	5	0.0025	-0.10503846742887923
3	model	5	0.0025	-0.08985219415567536
4	model	5	0.0025	-0.08478108516700633
5	model	5	0.0025	-0.06599194727126356
6	model	5	0.0025	-0.07306837560328794
7	model	5	0.0025	-0.055488620828897384
8	model	5	0.0025	-0.06264270555567686
9	model	5	0.0025	-0.03072224066515905
10	model	5	0.0025	-0.1028014922727224
11	model	5	0.0025	-0.06992069924450128
12	model	5	0.0025	-0.07361808650572355
13	model	5	0.0025	-0.06138719258827008
14	model	5	0.0025	-0.052563104929092
15	model	5	0.0025	-0.08478111779139741
16	model	5	0.0025	-0.04085192203305288
17	model	5	0.0025	-0.07250847966986518
18	model	5	0.0025	-0.07845517520242473
19	model	5	0.0025	-0.02986603288701639
20	model	5	0.0025	-0.09531478569721796
21	model	5	0.0025	-0.12344134577552002
22	model	5	0.0025	-0.058342840143943864
23	model	5	0.0025	-0.06375379055735697
24	model	5	0.0025	-0.05607731372026703
0	model	5	0.0100	-0.13077020503371162
1	model	5	0.0100	-0.21859290128394804
2	model	5	0.0100	-0.3617874880838129
3	model	5	0.0100	-0.34357833372744784
4	model	5	0.0100	-0.2739167071890597
5	model	5	0.0100	-0.2679343585108236
6	model	5	0.0100	-0.36351151256135605
7	model	5	0.0100	-0.3336667351742377
8	model	5	0.0100	-0.32935197521492676
9	model	5	0.0100	-0.23263544075794462
10	model	5	0.0100	-0.3989960682214827
11	model	5	0.0100	-0.2945315756698722
12	model	5	0.0100	-0.3169631726736283
13	model	5	0.0100	-0.21810795227245805
14	model	5	0.0100	-0.2512728862474958
15	model	5	0.0100	-0.48756452494054603
16	model	5	0.0100	-0.3188792726387081
17	model	5	0.0100	-0.3315736988928375
18	model	5	0.0100	-0.302605480970378
19	model	5	0.0100	-0.13931476761564032
20	model	5	0.0100	-0.3459035149242512
21	model	5	0.0100	-0.5000332128278973
22	model	5	0.0100	-0.20900741724653904
23	model	5	0.0100	-0.43763798564678735
24	model	5	0.0100	-0.2736740796048167
0	model	5	0.0200	-0.18947071360291312
1	model	5	0.0200	-0.38858371156432225
2	model	5	0.0200	-0.4647518153273793
3	model	5	0.0200	-0.4176310656326292
4	model	5	0.0200	-0.4157737104460556
5	model	5	0.0200	-0.4585826793570039
6	model	5	0.0200	-0.5178972594053753
7	model	5	0.0200	-0.45834673758585476
8	model	5	0.0200	-0.527341033695982
9	model	5	0.0200	-0.533270687060847
10	model	5	0.0200	-0.5216803195619686
11	model	5	0.0200	-0.48359933628640706
12	model	5	0.0200	-0.48285084957699853
13	model	5	0.0200	-0.4007681645149881
14	model	5	0.0200	-0.42500114546692114
15	model	5	0.0200	-0.5220690813119867
16	model	5	0.0200	-0.43238272961140367
17	model	5	0.0200	-0.46851757944779604
18	model	5	0.0200	-0.42967469223643984
19	model	5	0.0200	-0.20682706135215145
20	model	5	0.0200	-0.4577008642290469
21	model	5	0.0200	-0.682854166900863
22	model	5	0.0200	-0.4110792761019706
23	model	5	0.0200	-0.6480485032801584
24	model	5	0.0200	-0.5506390722697839
