subject	who	net	comparison	value
0	model	7	1	0.0
1	model	7	1	0.0
2	model	7	1	0.0
3	model	7	1	0.0
4	model	7	1	0.0
5	model	7	1	0.0
6	model	7	1	0.0
7	model	7	1	0.0
8	model	7	1	0.0
9	model	7	1	0.0
10	model	7	1	0.0
11	model	7	1	0.0
12	model	7	1	0.0
13	model	7	1	0.0
14	model	7	1	0.0
15	model	7	1	0.0
16	model	7	1	0.0
17	model	7	1	0.0
18	model	7	1	0.0
19	model	7	1	0.0
20	model	7	1	0.0
21	model	7	1	0.0
22	model	7	1	0.0
23	model	7	1	0.0
24	model	7	1	0.0
0	model	7	0.5	-0.0038796810106257462
1	model	7	0.5	-0.021343298066292204
2	model	7	0.5	-0.042139788642383436
3	model	7	0.5	-0.0553828755200636
4	model	7	0.5	-0.030632121224092868
5	model	7	0.5	-0.0357017352763872
6	model	7	0.5	-0.03072155058380044
7	model	7	0.5	-0.03255114804113712
8	model	7	0.5	-0.0392546821031422
9	model	7	0.5	-0.004620038341647259
10	model	7	0.5	-0.06333838386784929
11	model	7	0.5	-0.04139529776199746
12	model	7	0.5	-0.04921630246070052
13	model	7	0.5	-0.0281795524021633
14	model	7	0.5	-0.02379639270661804
15	model	7	0.5	-0.05169760979686733
16	model	7	0.5	-0.01998258683289178
17	model	7	0.5	-0.023353490843435964
18	model	7	0.5	-0.05420562458824563
19	model	7	0.5	-0.024686821576764162
20	model	7	0.5	-0.05949299349079962
21	model	7	0.5	-0.052289271789462854
22	model	7	0.5	-0.024577677071576987
23	model	7	0.5	-0.026318654444538292
24	model	7	0.5	-0.015908051124015832
0	model	7	0.4	-0.008590905344035504
1	model	7	0.4	-0.032004173987597695
2	model	7	0.4	-0.06952993805702279
3	model	7	0.4	-0.08380286978026508
4	model	7	0.4	-0.05192089563471036
5	model	7	0.4	-0.037102391192938566
6	model	7	0.4	-0.04958647190017251
7	model	7	0.4	-0.04728194547908704
8	model	7	0.4	-0.06095383148771305
9	model	7	0.4	-0.016529584322944046
10	model	7	0.4	-0.09306641160272389
11	model	7	0.4	-0.06718411270200975
12	model	7	0.4	-0.07324299346508034
13	model	7	0.4	-0.0358537151944498
14	model	7	0.4	-0.0399382048125253
15	model	7	0.4	-0.06376286470194015
16	model	7	0.4	-0.03861849305942422
17	model	7	0.4	-0.04511540653039092
18	model	7	0.4	-0.0762340373708974
19	model	7	0.4	-0.027462876977794926
20	model	7	0.4	-0.07413898361770455
21	model	7	0.4	-0.07030901209949103
22	model	7	0.4	-0.02607717075275151
23	model	7	0.4	-0.023580078513199654
24	model	7	0.4	-0.0415399038953469
0	model	7	0.1	-0.049281152798091976
1	model	7	0.1	-0.16826286962099568
2	model	7	0.1	-0.3118553350432115
3	model	7	0.1	-0.29203474845959543
4	model	7	0.1	-0.16782812064593022
5	model	7	0.1	-0.22206372753563042
6	model	7	0.1	-0.30662967967998067
7	model	7	0.1	-0.23416160456040025
8	model	7	0.1	-0.2688409144489299
9	model	7	0.1	-0.21287840456688034
10	model	7	0.1	-0.3082284651749235
11	model	7	0.1	-0.28471582750436486
12	model	7	0.1	-0.28800245511819433
13	model	7	0.1	-0.1526676982049444
14	model	7	0.1	-0.23563017991938995
15	model	7	0.1	-0.3525529626323939
16	model	7	0.1	-0.20792463973954567
17	model	7	0.1	-0.20400975048710923
18	model	7	0.1	-0.2430808281598561
19	model	7	0.1	-0.14126795709775042
20	model	7	0.1	-0.2862611559655269
21	model	7	0.1	-0.2623202392637637
22	model	7	0.1	-0.1779117399257224
23	model	7	0.1	-0.21240498293590826
24	model	7	0.1	-0.22088074286319548
0	model	7	0.05	-0.11021609562767232
1	model	7	0.05	-0.2770931098707524
2	model	7	0.05	-0.4556658707009795
3	model	7	0.05	-0.4007524104390916
4	model	7	0.05	-0.2572161907572177
5	model	7	0.05	-0.3638483341142945
6	model	7	0.05	-0.470151376629819
7	model	7	0.05	-0.36970260498015795
8	model	7	0.05	-0.4843362921096348
9	model	7	0.05	-0.375206815728927
10	model	7	0.05	-0.4572977520453364
11	model	7	0.05	-0.4484901269723943
12	model	7	0.05	-0.4367137537112883
13	model	7	0.05	-0.23132333462099253
14	model	7	0.05	-0.39214501725888806
15	model	7	0.05	-0.5002554073089551
16	model	7	0.05	-0.3352134112096383
17	model	7	0.05	-0.3695459021082991
18	model	7	0.05	-0.3438558938867263
19	model	7	0.05	-0.23377628086928448
20	model	7	0.05	-0.40341418803925433
21	model	7	0.05	-0.3848127919424337
22	model	7	0.05	-0.2897393343752295
23	model	7	0.05	-0.38741285419610394
24	model	7	0.05	-0.3972750943093113
