subject	who	net	comparison	value
0	model	4	0.0010	0.009684487160098065
1	model	4	0.0010	0.0017610670742993495
2	model	4	0.0010	-0.004332012168225541
3	model	4	0.0010	-0.011120533974290692
4	model	4	0.0010	0.010294504463346899
5	model	4	0.0010	-0.001643599584069344
6	model	4	0.0010	0.011982752153429255
7	model	4	0.0010	-0.011074113501347238
8	model	4	0.0010	0.0031048035417565734
9	model	4	0.0010	-0.0007794884950524938
10	model	4	0.0010	-0.002845210987435176
11	model	4	0.0010	0.007481527747508543
12	model	4	0.0010	0.0016932789475713195
13	model	4	0.0010	-0.00494307458421106
14	model	4	0.0010	-0.004587318257963657
15	model	4	0.0010	0.013111829222858806
16	model	4	0.0010	-0.0007818032307231881
17	model	4	0.0010	-0.006117849429162048
18	model	4	0.0010	-0.0067615730987024
19	model	4	0.0010	-0.00452089027883773
20	model	4	0.0010	0.010707863668641071
21	model	4	0.0010	0.007799109169285834
22	model	4	0.0010	-0.004705443454949609
23	model	4	0.0010	-0.005161247122965618
24	model	4	0.0010	-0.005532180159175448
0	model	4	0.0020	-0.007471790026340797
1	model	4	0.0020	-0.006173478069049221
2	model	4	0.0020	-0.03795063334454163
3	model	4	0.0020	-0.07294070826737797
4	model	4	0.0020	-0.0401683886003964
5	model	4	0.0020	-0.03926467360886399
6	model	4	0.0020	-0.014257230486672268
7	model	4	0.0020	-0.049110588357854756
8	model	4	0.0020	-0.039178460073679755
9	model	4	0.0020	-0.0054122487534356
10	model	4	0.0020	-0.06838985189212698
11	model	4	0.0020	-0.01766369258480016
12	model	4	0.0020	-0.06192696823833044
13	model	4	0.0020	-0.042432418429390384
14	model	4	0.0020	-0.03668538179643421
15	model	4	0.0020	-0.054742325595199315
16	model	4	0.0020	-0.02497436337526593
17	model	4	0.0020	-0.009647385469151781
18	model	4	0.0020	-0.05407679808762844
19	model	4	0.0020	-0.01965394485976535
20	model	4	0.0020	-0.04228212837643186
21	model	4	0.0020	-0.06071671849839089
22	model	4	0.0020	-0.01885875965363426
23	model	4	0.0020	-0.014880351510116463
24	model	4	0.0020	-0.018248445845185257
0	model	4	0.0025	-0.03759250874022768
1	model	4	0.0025	-0.02733191776763777
2	model	4	0.0025	-0.07770905699060537
3	model	4	0.0025	-0.1021548699483531
4	model	4	0.0025	-0.06571596648064815
5	model	4	0.0025	-0.05584221253690347
6	model	4	0.0025	-0.015414413308686536
7	model	4	0.0025	-0.05965384189587242
8	model	4	0.0025	-0.0591481510770302
9	model	4	0.0025	-0.019806768845137768
10	model	4	0.0025	-0.07462546964203465
11	model	4	0.0025	-0.0449784883478237
12	model	4	0.0025	-0.07123514048571156
13	model	4	0.0025	-0.03985911934686259
14	model	4	0.0025	-0.037764958954946914
15	model	4	0.0025	-0.09483150058717393
16	model	4	0.0025	-0.036881265495781856
17	model	4	0.0025	-0.03649421375548967
18	model	4	0.0025	-0.08143269352906801
19	model	4	0.0025	-0.02707919991925689
20	model	4	0.0025	-0.08642093615403557
21	model	4	0.0025	-0.10891046799897508
22	model	4	0.0025	-0.014699601116890948
23	model	4	0.0025	-0.04745874084386115
24	model	4	0.0025	-0.025707082428732986
0	model	4	0.0100	-0.14283865928039075
1	model	4	0.0100	-0.15292813400134453
2	model	4	0.0100	-0.3467112613238239
3	model	4	0.0100	-0.317700876301632
4	model	4	0.0100	-0.2703574363185518
5	model	4	0.0100	-0.26453165478366414
6	model	4	0.0100	-0.30431308305137483
7	model	4	0.0100	-0.22736068241097185
8	model	4	0.0100	-0.29135860298199223
9	model	4	0.0100	-0.17539464419750872
10	model	4	0.0100	-0.34221142496772317
11	model	4	0.0100	-0.2935118194716396
12	model	4	0.0100	-0.32065451203786455
13	model	4	0.0100	-0.16429374824335174
14	model	4	0.0100	-0.2349500949752772
15	model	4	0.0100	-0.3842192986177768
16	model	4	0.0100	-0.24140193157996204
17	model	4	0.0100	-0.19079516802397767
18	model	4	0.0100	-0.3089239980330012
19	model	4	0.0100	-0.15705895598596975
20	model	4	0.0100	-0.34813279612330683
21	model	4	0.0100	-0.4935428234499064
22	model	4	0.0100	-0.15139088225391817
23	model	4	0.0100	-0.3274782784161814
24	model	4	0.0100	-0.2421137431128727
0	model	4	0.0200	-0.2876351362928333
1	model	4	0.0200	-0.26421414709819746
2	model	4	0.0200	-0.4876583790539939
3	model	4	0.0200	-0.39532959817390845
4	model	4	0.0200	-0.37734055995260984
5	model	4	0.0200	-0.26456930995225403
6	model	4	0.0200	-0.5515362647590695
7	model	4	0.0200	-0.37167412402257405
8	model	4	0.0200	-0.4641381558400709
9	model	4	0.0200	-0.29505274963987016
10	model	4	0.0200	-0.522500012014736
11	model	4	0.0200	-0.4114487931346765
12	model	4	0.0200	-0.4725818308814671
13	model	4	0.0200	-0.36415158644023526
14	model	4	0.0200	-0.3304154328457535
15	model	4	0.0200	-0.5461578455101103
16	model	4	0.0200	-0.4678597811840851
17	model	4	0.0200	-0.35095655699895223
18	model	4	0.0200	-0.4112229510370675
19	model	4	0.0200	-0.2239883178518226
20	model	4	0.0200	-0.3941443378997983
21	model	4	0.0200	-0.5858585048188589
22	model	4	0.0200	-0.2793425570298491
23	model	4	0.0200	-0.5925446948281222
24	model	4	0.0200	-0.5113178864098754
