subject	who	net	comparison	value
0	model	0	1	0.0
1	model	0	1	0.0
2	model	0	1	0.0
3	model	0	1	0.0
4	model	0	1	0.0
5	model	0	1	0.0
6	model	0	1	0.0
7	model	0	1	0.0
8	model	0	1	0.0
9	model	0	1	0.0
10	model	0	1	0.0
11	model	0	1	0.0
12	model	0	1	0.0
13	model	0	1	0.0
14	model	0	1	0.0
15	model	0	1	0.0
16	model	0	1	0.0
17	model	0	1	0.0
18	model	0	1	0.0
19	model	0	1	0.0
20	model	0	1	0.0
21	model	0	1	0.0
22	model	0	1	0.0
23	model	0	1	0.0
24	model	0	1	0.0
0	model	0	0.5	-0.00909281754135316
1	model	0	0.5	-0.02067252280340892
2	model	0	0.5	-0.041317221771071555
3	model	0	0.5	-0.06631318415940501
4	model	0	0.5	-0.02185689807504454
5	model	0	0.5	-0.03942338451002736
6	model	0	0.5	-0.033064978810431245
7	model	0	0.5	-0.027341729286151306
8	model	0	0.5	-0.03541486615149814
9	model	0	0.5	-0.037878191879491596
10	model	0	0.5	-0.05175451520584551
11	model	0	0.5	-0.05196863373332239
12	model	0	0.5	-0.04071408758631101
13	model	0	0.5	-0.02596777057110211
14	model	0	0.5	-0.049458749065311114
15	model	0	0.5	-0.04451746666658818
16	model	0	0.5	-0.045357709384825085
17	model	0	0.5	-0.020814362695174893
18	model	0	0.5	-0.027961687191414453
19	model	0	0.5	-0.022640179538174543
20	model	0	0.5	-0.06903908995660979
21	model	0	0.5	-0.060377663615171606
22	model	0	0.5	-0.04772168063388982
23	model	0	0.5	-0.0387105666786951
24	model	0	0.5	-0.024577886190768505
0	model	0	0.4	-0.02047021403882443
1	model	0	0.4	-0.04554364448528159
2	model	0	0.4	-0.054466767188080856
3	model	0	0.4	-0.07117297458244431
4	model	0	0.4	-0.027602455555619354
5	model	0	0.4	-0.04778251310236725
6	model	0	0.4	-0.04676396464517796
7	model	0	0.4	-0.04855407860242389
8	model	0	0.4	-0.022778830128081906
9	model	0	0.4	-0.057798161906952195
10	model	0	0.4	-0.059487286518577154
11	model	0	0.4	-0.06709998517803561
12	model	0	0.4	-0.07031790060351462
13	model	0	0.4	-0.039334258453512794
14	model	0	0.4	-0.05450258233248073
15	model	0	0.4	-0.07596112036696134
16	model	0	0.4	-0.03979885478487244
17	model	0	0.4	-0.019514882661340938
18	model	0	0.4	-0.05484287113565256
19	model	0	0.4	-0.013614429491742408
20	model	0	0.4	-0.08951016285686675
21	model	0	0.4	-0.06937586700922782
22	model	0	0.4	-0.04434166451717381
23	model	0	0.4	-0.060393130956515995
24	model	0	0.4	-0.0319840488845039
0	model	0	0.1	-0.09433562191593658
1	model	0	0.1	-0.14457471231011598
2	model	0	0.1	-0.2500270233204265
3	model	0	0.1	-0.2539242775387014
4	model	0	0.1	-0.12414423812826902
5	model	0	0.1	-0.18434844972565545
6	model	0	0.1	-0.22534445656922586
7	model	0	0.1	-0.18507370187626537
8	model	0	0.1	-0.20394965513779484
9	model	0	0.1	-0.25324654479832254
10	model	0	0.1	-0.26395904717714347
11	model	0	0.1	-0.264690886303261
12	model	0	0.1	-0.22616850146477174
13	model	0	0.1	-0.14679165280331397
14	model	0	0.1	-0.2318677955964541
15	model	0	0.1	-0.2805442583978932
16	model	0	0.1	-0.1841458240500945
17	model	0	0.1	-0.1434518106264676
18	model	0	0.1	-0.20421226943780801
19	model	0	0.1	-0.08611722397473098
20	model	0	0.1	-0.2643369364939825
21	model	0	0.1	-0.2352788767350661
22	model	0	0.1	-0.18538340316230373
23	model	0	0.1	-0.17845968196415862
24	model	0	0.1	-0.1856910561900541
0	model	0	0.05	-0.163118550218193
1	model	0	0.05	-0.23525002582247956
2	model	0	0.05	-0.39382175372581785
3	model	0	0.05	-0.36460249293439007
4	model	0	0.05	-0.2085274653869983
5	model	0	0.05	-0.31263530242885473
6	model	0	0.05	-0.37299932727846297
7	model	0	0.05	-0.31128319211590305
8	model	0	0.05	-0.3546501631565754
9	model	0	0.05	-0.42330050305970035
10	model	0	0.05	-0.38010784382897234
11	model	0	0.05	-0.4101782995682344
12	model	0	0.05	-0.3558559535272089
13	model	0	0.05	-0.2435455896359493
14	model	0	0.05	-0.36702454120339834
15	model	0	0.05	-0.42862184029527195
16	model	0	0.05	-0.2928464413377381
17	model	0	0.05	-0.25777646880410676
18	model	0	0.05	-0.3020064982716849
19	model	0	0.05	-0.16712042036702313
20	model	0	0.05	-0.37254795625286286
21	model	0	0.05	-0.38598741441635653
22	model	0	0.05	-0.28856303957512774
23	model	0	0.05	-0.3075627260261977
24	model	0	0.05	-0.306398270260667
