,subject,who,net,comparison,value
64,14,model,0,MS,-0.01811157691974552
65,15,model,0,MS,-0.06764961912157486
66,16,model,0,MS,0.05937274287775185
67,17,model,0,MS,0.171009327302437
68,18,model,0,MS,0.058963195687234404
69,19,model,0,MS,-0.0877491956853853
70,20,model,0,MS,0.03093835449415916
71,21,model,0,MS,0.1627106289693575
72,22,model,0,MS,0.07952301220980007
73,23,model,0,MS,0.014940124627805917
74,24,model,0,MS,-0.06146311726035081
0,0,model,1,TM,0.03022755745774719
1,1,model,1,TM,0.07549177096520165
2,2,model,1,TM,0.08467011029344162
3,3,model,1,TM,-0.32894949882002156
4,4,model,1,TM,0.053342455083228324
5,5,model,1,TM,0.2601952374308574
6,6,model,1,TM,0.33264560691709677
7,7,model,1,TM,0.26994042870406254
8,8,model,1,TM,0.31939387514821893
9,9,model,1,TM,0.2498066031367392
10,10,model,1,TM,0.41356594921281553
11,11,model,1,TM,0.07264970745447707
12,12,model,1,TM,0.4362078506541336
13,13,model,1,TM,-0.04872279006167424
14,14,model,1,TM,0.016337293084695448
15,15,model,1,TM,0.4901094394688589
16,16,model,1,TM,0.34745974325375895
17,17,model,1,TM,0.1307167327836124
18,18,model,1,TM,-0.04744520934900087
19,19,model,1,TM,-0.07441400056372327
20,20,model,1,TM,0.09751706167929353
21,21,model,1,TM,0.0797759161560111
22,22,model,1,TM,0.2046323585261689
23,23,model,1,TM,0.23023999894250646
24,24,model,1,TM,0.425315695281101
25,0,model,1,TS,0.046345584488375335
26,1,model,1,TS,0.09292949407488271
27,2,model,1,TS,0.20930823745823224
28,3,model,1,TS,-0.25154257705819283
29,4,model,1,TS,0.06481681193845013
30,5,model,1,TS,0.3963642162155645
31,6,model,1,TS,0.2782299025800521
32,7,model,1,TS,0.3093058940400434
33,8,model,1,TS,0.4387613874584191
34,9,model,1,TS,0.38859951508556967
35,10,model,1,TS,0.3760168039334042
36,11,model,1,TS,0.09225828574714379
37,12,model,1,TS,0.4548154701802668
38,13,model,1,TS,0.17879364390388341
39,14,model,1,TS,-0.02386208464631301
40,15,model,1,TS,0.41578465668968145
41,16,model,1,TS,0.3874995704384878
42,17,model,1,TS,0.34832693035672035
43,18,model,1,TS,0.0485237320278058
44,19,model,1,TS,-0.16130443860504895
45,20,model,1,TS,0.05698449329548394
46,21,model,1,TS,0.2732278561393858
47,22,model,1,TS,0.29922632182135833
48,23,model,1,TS,0.2526860297119716
49,24,model,1,TS,0.35282947669095566
50,0,model,1,MS,0.016118027030628146
51,1,model,1,MS,0.017437723109681058
52,2,model,1,MS,0.12463812716479061
53,3,model,1,MS,0.07740692176182873
54,4,model,1,MS,0.011474356855221801
55,5,model,1,MS,0.13616897878470713
56,6,model,1,MS,-0.05441570433704468
57,7,model,1,MS,0.03936546533598084
58,8,model,1,MS,0.11936751231020015
59,9,model,1,MS,0.13879291194883048
60,10,model,1,MS,-0.03754914527941133
61,11,model,1,MS,0.019608578292666712
62,12,model,1,MS,0.018607619526133212
63,13,model,1,MS,0.22751643396555765
64,14,model,1,MS,-0.04019937773100846
65,15,model,1,MS,-0.07432478277917742
66,16,model,1,MS,0.04003982718472887
67,17,model,1,MS,0.21761019757310796
68,18,model,1,MS,0.09596894137680667
69,19,model,1,MS,-0.08689043804132568
70,20,model,1,MS,-0.040532568383809586
71,21,model,1,MS,0.19345193998337473
72,22,model,1,MS,0.09459396329518943
73,23,model,1,MS,0.022446030769465164
74,24,model,1,MS,-0.07248621859014537
0,0,model,2,TM,0.06800358786527438
1,1,model,2,TM,0.07662187045980018
2,2,model,2,TM,0.04467167116385151
3,3,model,2,TM,-0.2752739758928876
4,4,model,2,TM,0.052694603755381264
5,5,model,2,TM,0.2626694105382368
6,6,model,2,TM,0.42468491715922974
7,7,model,2,TM,0.30362455560986124
8,8,model,2,TM,0.3062806614598119
9,9,model,2,TM,0.2904161249589722
10,10,model,2,TM,0.40175567805652723
11,11,model,2,TM,0.039527454470790424
12,12,model,2,TM,0.461399839913638
13,13,model,2,TM,-0.04863152969989171
14,14,model,2,TM,0.05533898180672059
15,15,model,2,TM,0.442557034458546
16,16,model,2,TM,0.316532791472394
17,17,model,2,TM,0.06959286671374532
18,18,model,2,TM,-0.05400166706765919
19,19,model,2,TM,-0.07208006924210986
20,20,model,2,TM,0.10424461812727681
21,21,model,2,TM,0.2136560173346257
22,22,model,2,TM,0.2461833769666848
23,23,model,2,TM,0.20694556052155988
24,24,model,2,TM,0.417335349010299
25,0,model,2,TS,0.1820574237614958
26,1,model,2,TS,0.05776103878715433
27,2,model,2,TS,0.1387455820092991
28,3,model,2,TS,-0.18531092247669478
29,4,model,2,TS,0.07345568681997272
30,5,model,2,TS,0.38309560784182306
31,6,model,2,TS,0.32512876458794593
32,7,model,2,TS,0.3239339199800588
33,8,model,2,TS,0.4131174794671204
34,9,model,2,TS,0.39934717817880405
35,10,model,2,TS,0.3711195505447811
36,11,model,2,TS,0.04364292544281212
37,12,model,2,TS,0.46238090742708404
38,13,model,2,TS,0.21113927045474834
39,14,model,2,TS,-0.0024695417339772874
40,15,model,2,TS,0.37741058684404516
41,16,model,2,TS,0.36655322641939325
42,17,model,2,TS,0.3756613641725385
43,18,model,2,TS,0.051809256733564846
44,19,model,2,TS,-0.21065491448772877
45,20,model,2,TS,0.07979623783378642
46,21,model,2,TS,0.2607480726569523
47,22,model,2,TS,0.3412161226311877
48,23,model,2,TS,0.2142046341419912
49,24,model,2,TS,0.34118711413780345
50,0,model,2,MS,0.11405383589622142
51,1,model,2,MS,-0.01886083167264585
52,2,model,2,MS,0.09407391084544758
53,3,model,2,MS,0.08996305341619282
54,4,model,2,MS,0.020761083064591457
55,5,model,2,MS,0.12042619730358628
56,6,model,2,MS,-0.0995561525712838
57,7,model,2,MS,0.02030936437019759
58,8,model,2,MS,0.10683681800730849
59,9,model,2,MS,0.10893105321983187
60,10,model,2,MS,-0.03063612751174616
61,11,model,2,MS,0.004115470972021695
62,12,model,2,MS,0.0009810675134460656
63,13,model,2,MS,0.25977080015464005
64,14,model,2,MS,-0.057808523540697876
65,15,model,2,MS,-0.06514644761450084
66,16,model,2,MS,0.05002043494699926
67,17,model,2,MS,0.30606849745879317
68,18,model,2,MS,0.10581092380122403
69,19,model,2,MS,-0.13857484524561892
70,20,model,2,MS,-0.02444838029349039
71,21,model,2,MS,0.04709205532232663
72,22,model,2,MS,0.09503274566450293
73,23,model,2,MS,0.007259073620431322
74,24,model,2,MS,-0.07614823487249556
0,0,model,3,TM,0.046937458718989356
1,1,model,3,TM,0.09222398116658026
2,2,model,3,TM,0.07817186438964874
3,3,model,3,TM,-0.2655582467645917
4,4,model,3,TM,0.08062693040565994
5,5,model,3,TM,0.2576183150595095
6,6,model,3,TM,0.4117161355312242
7,7,model,3,TM,0.15697053199254019
8,8,model,3,TM,0.29685701965066835
9,9,model,3,TM,0.2683255154256684
10,10,model,3,TM,0.4144822810813079
11,11,model,3,TM,0.048619071774777756
12,12,model,3,TM,0.4538092415365358
13,13,model,3,TM,0.006767392483525314
14,14,model,3,TM,0.07074014023780228
15,15,model,3,TM,0.4022277362949609
16,16,model,3,TM,0.32172000665366063
17,17,model,3,TM,0.12229932293306434
18,18,model,3,TM,-0.027293967087352766
19,19,model,3,TM,-0.07332893612500102
20,20,model,3,TM,0.1098474040062477
21,21,model,3,TM,0.21677978492842587
22,22,model,3,TM,0.23120208361030958
23,23,model,3,TM,0.1758309117651301
24,24,model,3,TM,0.3913076090362647
25,0,model,3,TS,0.11640579023953834
26,1,model,3,TS,0.08729797442649334
27,2,model,3,TS,0.19355394324966624
28,3,model,3,TS,-0.18483408049724248
29,4,model,3,TS,0.07586912428692394
30,5,model,3,TS,0.38485020727775476
31,6,model,3,TS,0.32347784872477947
32,7,model,3,TS,0.2603421190461429
33,8,model,3,TS,0.41044895034282036
34,9,model,3,TS,0.3779814518259488
35,10,model,3,TS,0.3767530383271781
36,11,model,3,TS,0.04491438968827699
37,12,model,3,TS,0.4528268963328729
38,13,model,3,TS,0.20315685566193553
39,14,model,3,TS,0.03299770884919351
40,15,model,3,TS,0.3543921140318286
41,16,model,3,TS,0.3333774168458611
42,17,model,3,TS,0.41355399419657424
43,18,model,3,TS,0.06932195916019879
44,19,model,3,TS,-0.20807095540110832
45,20,model,3,TS,0.05260341939033508
46,21,model,3,TS,0.24382305319408004
47,22,model,3,TS,0.33407913874814954
48,23,model,3,TS,0.1718534173787405
49,24,model,3,TS,0.3216578533880796
50,0,model,3,MS,0.06946833152054899
51,1,model,3,MS,-0.004926006740086919
52,2,model,3,MS,0.1153820788600175
53,3,model,3,MS,0.08072416626734924
54,4,model,3,MS,-0.004757806118735997
55,5,model,3,MS,0.12723189221824527
56,6,model,3,MS,-0.08823828680644474
57,7,model,3,MS,0.10337158705360272
58,8,model,3,MS,0.11359193069215201
59,9,model,3,MS,0.10965593640028037
60,10,model,3,MS,-0.03772924275412981
61,11,model,3,MS,-0.0037046820865007657
62,12,model,3,MS,-0.0009823452036629154
63,13,model,3,MS,0.19638946317841022
64,14,model,3,MS,-0.03774243138860878
65,15,model,3,MS,-0.047835622263132316
66,16,model,3,MS,0.011657410192200457
67,17,model,3,MS,0.2912546712635099
68,18,model,3,MS,0.09661592624755155
69,19,model,3,MS,-0.1347420192761073
70,20,model,3,MS,-0.057243984615912624
71,21,model,3,MS,0.027043268265654175
72,22,model,3,MS,0.10287705513783996
73,23,model,3,MS,-0.003977494386389613
74,24,model,3,MS,-0.0696497556481851
0,0,model,4,TM,-0.020581555577228405
1,1,model,4,TM,0.028592108368679203
2,2,model,4,TM,0.047530839593253216
3,3,model,4,TM,-0.3079204608198487
4,4,model,4,TM,0.10472555571581077
5,5,model,4,TM,0.30100401223903406
6,6,model,4,TM,0.40822428820061485
7,7,model,4,TM,0.24617189333318856
8,8,model,4,TM,0.2888185182297506
9,9,model,4,TM,0.32469549078542725
10,10,model,4,TM,0.4470516771963885
11,11,model,4,TM,0.037259134586765996
12,12,model,4,TM,0.4799671342273275
13,13,model,4,TM,-0.05789681541395342
14,14,model,4,TM,0.07483997567840361
15,15,model,4,TM,0.48927264047651353
16,16,model,4,TM,0.3693736573855936
17,17,model,4,TM,0.1571802694464578
18,18,model,4,TM,-0.006067179877611517
19,19,model,4,TM,-0.07422305231027837
20,20,model,4,TM,0.12454093047987713
21,21,model,4,TM,0.21750944922792947
22,22,model,4,TM,0.2825594541757178
23,23,model,4,TM,0.23337976441900954
24,24,model,4,TM,0.43200206302320454
25,0,model,4,TS,0.08349750911207121
26,1,model,4,TS,0.019335639707509067
27,2,model,4,TS,0.19649684111605736
28,3,model,4,TS,-0.17606359580094433
29,4,model,4,TS,0.10662917452506171
30,5,model,4,TS,0.43448622698438966
31,6,model,4,TS,0.29079093710056647
32,7,model,4,TS,0.3636948500738407
33,8,model,4,TS,0.38730014526013934
34,9,model,4,TS,0.3949981015811378
35,10,model,4,TS,0.40259107628396695
36,11,model,4,TS,0.04582671141924011
37,12,model,4,TS,0.5222480365833655
38,13,model,4,TS,0.241004117499938
39,14,model,4,TS,0.01846013974004601
40,15,model,4,TS,0.42050542581475236
41,16,model,4,TS,0.42835602089859115
42,17,model,4,TS,0.4147273770589416
43,18,model,4,TS,0.1206869739890708
44,19,model,4,TS,-0.2271478565281927
45,20,model,4,TS,0.09181289557933936
46,21,model,4,TS,0.31954076088494365
47,22,model,4,TS,0.37252640899060163
48,23,model,4,TS,0.2540997430450159
49,24,model,4,TS,0.36461440425204605
50,0,model,4,MS,0.10407906468929962
51,1,model,4,MS,-0.009256468661170136
52,2,model,4,MS,0.14896600152280415
53,3,model,4,MS,0.13185686501890437
54,4,model,4,MS,0.0019036188092509398
55,5,model,4,MS,0.1334822147453556
56,6,model,4,MS,-0.11743335110004838
57,7,model,4,MS,0.11752295674065216
58,8,model,4,MS,0.09848162703038876
59,9,model,4,MS,0.07030261079571054
60,10,model,4,MS,-0.044460600912421544
61,11,model,4,MS,0.00856757683247411
62,12,model,4,MS,0.042280902356037986
63,13,model,4,MS,0.2989009329138914
64,14,model,4,MS,-0.0563798359383576
65,15,model,4,MS,-0.06876721466176117
66,16,model,4,MS,0.05898236351299757
67,17,model,4,MS,0.2575471076124838
68,18,model,4,MS,0.12675415386668232
69,19,model,4,MS,-0.15292480421791432
70,20,model,4,MS,-0.03272803490053777
71,21,model,4,MS,0.10203131165701418
72,22,model,4,MS,0.08996695481488381
73,23,model,4,MS,0.020719978626006386
74,24,model,4,MS,-0.06738765877115849
0,0,model,5,TM,0.05470332608420936
1,1,model,5,TM,0.08498615855013847
2,2,model,5,TM,0.08691057172381866
3,3,model,5,TM,-0.29542062301729954
4,4,model,5,TM,0.058530429131879336
5,5,model,5,TM,0.3461347407113087
6,6,model,5,TM,0.4623304914574763
7,7,model,5,TM,0.23922410891363277
8,8,model,5,TM,0.26848761735580295
9,9,model,5,TM,0.2738195166251933
10,10,model,5,TM,0.45840851147139783
11,11,model,5,TM,0.03707997540637853
12,12,model,5,TM,0.5162930853482934
13,13,model,5,TM,-0.07694472119348772
14,14,model,5,TM,-0.030407303526200136
15,15,model,5,TM,0.44326285129583753
16,16,model,5,TM,0.3617344750579433
17,17,model,5,TM,0.11962992313451304
18,18,model,5,TM,0.004867023807261006
19,19,model,5,TM,-0.11281187427020645
20,20,model,5,TM,0.1004781550887256
21,21,model,5,TM,0.20453912518019035
22,22,model,5,TM,0.2804880407760052
23,23,model,5,TM,0.2506092083331237
24,24,model,5,TM,0.41423531387551504
25,0,model,5,TS,0.15473338506990475
26,1,model,5,TS,0.10807650006357827
27,2,model,5,TS,0.21712857311657385
28,3,model,5,TS,-0.16076432445334476
29,4,model,5,TS,0.13215939482550698
30,5,model,5,TS,0.507266956205989
31,6,model,5,TS,0.3914668127559654
32,7,model,5,TS,0.3697955040729084
33,8,model,5,TS,0.36471406335154744
34,9,model,5,TS,0.3665882720586442
35,10,model,5,TS,0.41318704492541336
36,11,model,5,TS,0.05260775260462902
37,12,model,5,TS,0.5269230676724728
38,13,model,5,TS,0.20223470717256586
39,14,model,5,TS,-0.07288219110774741
40,15,model,5,TS,0.40087267042151087
41,16,model,5,TS,0.4029017745340865
42,17,model,5,TS,0.49742218058928556
43,18,model,5,TS,0.10901095874571676
44,19,model,5,TS,-0.29391430550993936
45,20,model,5,TS,0.11894173548959186
46,21,model,5,TS,0.35088178192645625
47,22,model,5,TS,0.38358395286742797
48,23,model,5,TS,0.2948948131707054
49,24,model,5,TS,0.36847376327076176
50,0,model,5,MS,0.10003005898569539
51,1,model,5,MS,0.023090341513439805
52,2,model,5,MS,0.1302180013927552
53,3,model,5,MS,0.13465629856395478
54,4,model,5,MS,0.07362896569362765
55,5,model,5,MS,0.16113221549468038
56,6,model,5,MS,-0.07086367870151089
57,7,model,5,MS,0.13057139515927563
58,8,model,5,MS,0.09622644599574448
59,9,model,5,MS,0.09276875543345087
60,10,model,5,MS,-0.04522146654598447
61,11,model,5,MS,0.015527777198250492
62,12,model,5,MS,0.010629982324179332
63,13,model,5,MS,0.2791794283660536
64,14,model,5,MS,-0.04247488758154727
65,15,model,5,MS,-0.042390180874326666
66,16,model,5,MS,0.04116729947614317
67,17,model,5,MS,0.3777922574547725
68,18,model,5,MS,0.10414393493845575
69,19,model,5,MS,-0.1811024312397329
70,20,model,5,MS,0.018463580400866264
71,21,model,5,MS,0.1463426567462659
72,22,model,5,MS,0.10309591209142277
73,23,model,5,MS,0.044285604837581705
74,24,model,5,MS,-0.04576155060475329
0,0,model,6,TM,0.12552794022918234
1,1,model,6,TM,0.07275338102504558
2,2,model,6,TM,0.1010350284624163
3,3,model,6,TM,-0.24530438748494876
4,4,model,6,TM,0.08788757741085484
5,5,model,6,TM,0.32771173264415254
6,6,model,6,TM,0.48816933594014544
7,7,model,6,TM,0.3121595655053546
8,8,model,6,TM,0.26461594997371995
9,9,model,6,TM,0.26705100972759555
10,10,model,6,TM,0.4450497400599097
11,11,model,6,TM,0.031161369113641868
12,12,model,6,TM,0.48902353890681505
13,13,model,6,TM,0.004134503174773929
14,14,model,6,TM,0.09805977642029917
15,15,model,6,TM,0.4417440626090553
16,16,model,6,TM,0.336848719151042
17,17,model,6,TM,0.16634527485069728
18,18,model,6,TM,-0.03730147995027311
19,19,model,6,TM,-0.08441248938264989
20,20,model,6,TM,0.09672273230042794
21,21,model,6,TM,0.22410311431429586
22,22,model,6,TM,0.288480799975977
23,23,model,6,TM,0.19342973165373123
24,24,model,6,TM,0.408328788744061
25,0,model,6,TS,0.24442404929745254
26,1,model,6,TS,0.055121407003993816
27,2,model,6,TS,0.19953085672878879
28,3,model,6,TS,-0.14884241132203346
29,4,model,6,TS,0.1213190889443293
30,5,model,6,TS,0.4245793026124637
31,6,model,6,TS,0.4536405070156594
32,7,model,6,TS,0.33266534511715373
33,8,model,6,TS,0.38319619032749097
34,9,model,6,TS,0.38392929653196495
35,10,model,6,TS,0.3798803865333601
36,11,model,6,TS,0.05688127191556902
37,12,model,6,TS,0.530439911512084
38,13,model,6,TS,0.25415800830581803
39,14,model,6,TS,0.018602537929260587
40,15,model,6,TS,0.39589229824779126
41,16,model,6,TS,0.35398968169889855
42,17,model,6,TS,0.48443665501585986
43,18,model,6,TS,0.09758980588855615
44,19,model,6,TS,-0.2626446669918183
45,20,model,6,TS,0.08874569126072984
46,21,model,6,TS,0.2877357140538873
47,22,model,6,TS,0.35163767530158807
48,23,model,6,TS,0.2051402419868662
49,24,model,6,TS,0.3326003339651331
50,0,model,6,MS,0.1188961090682702
51,1,model,6,MS,-0.017631974021051766
52,2,model,6,MS,0.09849582826637249
53,3,model,6,MS,0.0964619761629153
54,4,model,6,MS,0.033431511533474456
55,5,model,6,MS,0.09686756996831114
56,6,model,6,MS,-0.034528828924486055
57,7,model,6,MS,0.020505779611799113
58,8,model,6,MS,0.11858024035377102
59,9,model,6,MS,0.1168782868043694
60,10,model,6,MS,-0.06516935352654962
61,11,model,6,MS,0.025719902801927153
62,12,model,6,MS,0.04141637260526898
63,13,model,6,MS,0.2500235051310441
64,14,model,6,MS,-0.07945723849103858
65,15,model,6,MS,-0.045851764361264036
66,16,model,6,MS,0.017140962547856575
67,17,model,6,MS,0.3180913801651626
68,18,model,6,MS,0.13489128583882926
69,19,model,6,MS,-0.17823217760916843
70,20,model,6,MS,-0.007977041039698096
71,21,model,6,MS,0.06363259973959146
72,22,model,6,MS,0.0631568753256111
73,23,model,6,MS,0.011710510333134971
74,24,model,6,MS,-0.07572845477892787
0,0,model,7,TM,0.052407835772787736
1,1,model,7,TM,0.049963367650009194
2,2,model,7,TM,0.09106691064473904
3,3,model,7,TM,-0.2570678068825274
4,4,model,7,TM,0.11888254250059282
5,5,model,7,TM,0.23236472910618777
6,6,model,7,TM,0.3519956372761258
7,7,model,7,TM,0.1854386190178855
8,8,model,7,TM,0.25550678667376403
9,9,model,7,TM,0.2604992961990171
10,10,model,7,TM,0.36353366008005106
11,11,model,7,TM,0.043516459955446285
12,12,model,7,TM,0.4069041803746368
13,13,model,7,TM,-0.047821367974604345
14,14,model,7,TM,0.053449528768612864
15,15,model,7,TM,0.4077428700821032
16,16,model,7,TM,0.2796175464427242
17,17,model,7,TM,0.07897116615032185
18,18,model,7,TM,-0.042082197813846256
19,19,model,7,TM,-0.08409382313947078
20,20,model,7,TM,0.04588967462951776
21,21,model,7,TM,0.08435354881971224
22,22,model,7,TM,0.1777927921618836
23,23,model,7,TM,0.15895572723514362
24,24,model,7,TM,0.41028938150980254
25,0,model,7,TS,0.10504313229267359
26,1,model,7,TS,0.06707721869267158
27,2,model,7,TS,0.15843183068032507
28,3,model,7,TS,-0.15509445916362974
29,4,model,7,TS,0.10076032962881676
30,5,model,7,TS,0.37406074326398964
31,6,model,7,TS,0.28337528232816456
32,7,model,7,TS,0.2664572652995536
33,8,model,7,TS,0.38954380464343086
34,9,model,7,TS,0.3808424304943918
35,10,model,7,TS,0.2906255851034889
36,11,model,7,TS,0.039268422172256456
37,12,model,7,TS,0.41715289409099543
38,13,model,7,TS,0.16467094280707062
39,14,model,7,TS,-0.008596172018451753
40,15,model,7,TS,0.34273373464247525
41,16,model,7,TS,0.30310537544806515
42,17,model,7,TS,0.3278347680838538
43,18,model,7,TS,0.02777917747970493
44,19,model,7,TS,-0.1792962632187276
45,20,model,7,TS,0.07149122097700733
46,21,model,7,TS,0.1575854731086196
47,22,model,7,TS,0.3119123061479967
48,23,model,7,TS,0.1667578926658313
49,24,model,7,TS,0.3351481362767532
50,0,model,7,MS,0.052635296519885855
51,1,model,7,MS,0.017113851042662387
52,2,model,7,MS,0.06736492003558603
53,3,model,7,MS,0.10197334771889766
54,4,model,7,MS,-0.018122212871776067
55,5,model,7,MS,0.14169601415780186
56,6,model,7,MS,-0.06862035494796126
57,7,model,7,MS,0.0810186462816681
58,8,model,7,MS,0.13403701796966683
59,9,model,7,MS,0.12034313429537469
60,10,model,7,MS,-0.07290807497656215
61,11,model,7,MS,-0.004248037783189829
62,12,model,7,MS,0.010248713716358604
63,13,model,7,MS,0.21249231078167496
64,14,model,7,MS,-0.06204570078706462
65,15,model,7,MS,-0.06500913543962794
66,16,model,7,MS,0.023487829005340966
67,17,model,7,MS,0.24886360193353196
68,18,model,7,MS,0.06986137529355119
69,19,model,7,MS,-0.09520244007925682
70,20,model,7,MS,0.025601546347489568
71,21,model,7,MS,0.07323192428890735
72,22,model,7,MS,0.1341195139861131
73,23,model,7,MS,0.00780216543068768
74,24,model,7,MS,-0.07514124523304933
0,0,model,8,TM,0.03369126962941471
1,1,model,8,TM,0.05807596356639644
2,2,model,8,TM,0.062382467056159574
3,3,model,8,TM,-0.37667163405840665
4,4,model,8,TM,0.12912903998794534
5,5,model,8,TM,0.30471017745877294
6,6,model,8,TM,0.35777595177853116
7,7,model,8,TM,0.2807263486006929
8,8,model,8,TM,0.3005186173205838
9,9,model,8,TM,0.26198302978944144
10,10,model,8,TM,0.41375762790070836
11,11,model,8,TM,0.07496216905260877
12,12,model,8,TM,0.46879662366565344
