net	condition	timestep	distance
3	0	6	-0.022601575
3	1	6	0.021638691
3	2	6	0.044240266
3	0	7	-0.020275414
3	1	7	0.0144146085
3	2	7	0.034690022
3	0	8	-0.014046311
3	1	8	0.007884383
3	2	8	0.021930695
3	0	9	-0.007048428
3	1	9	0.0027347207
3	2	9	0.009783149
3	0	10	-0.0022057295
3	1	10	-0.0015868545
3	2	10	0.000618875
3	0	11	0.0003785789
3	1	11	-0.0045353174
3	2	11	-0.0049138963
3	0	12	0.0014332235
3	1	12	-0.006759435
3	2	12	-0.008192658
3	0	13	0.0022608936
3	1	13	-0.0072366
3	2	13	-0.0094974935
3	0	14	0.0020776093
3	1	14	-0.008117974
3	2	14	-0.010195583
3	0	15	0.001945585
3	1	15	-0.009050101
3	2	15	-0.010995686
3	0	16	0.00097480416
3	1	16	-0.010071725
3	2	16	-0.011046529
3	0	17	0.00045275688
3	1	17	-0.010572225
3	2	17	-0.011024982
3	0	18	-0.0002592206
3	1	18	-0.011237204
3	2	18	-0.0109779835
3	0	19	-0.0009958446
3	1	19	-0.012309819
3	2	19	-0.011313975
3	0	20	-0.0016309023
3	1	20	-0.012870669
3	2	20	-0.011239767
3	0	21	-0.0025479496
3	1	21	-0.0136063695
3	2	21	-0.01105842
4	0	0	0.06987448
4	1	0	0.10020961
4	2	0	0.030335128
4	0	1	0.051150307
4	1	1	0.07546197
4	2	1	0.024311662
4	0	2	0.037383348
4	1	2	0.059084624
4	2	2	0.021701276
4	0	3	0.031152517
4	1	3	0.052233905
4	2	3	0.021081388
4	0	4	0.0274743
4	1	4	0.048119694
4	2	4	0.020645395
4	0	5	0.022878855
4	1	5	0.042121038
4	2	5	0.019242182
4	0	6	0.017931461
4	1	6	0.03428015
4	2	6	0.01634869
4	0	7	0.013704181
4	1	7	0.025926605
4	2	7	0.012222424
4	0	8	0.009798795
4	1	8	0.017775372
4	2	8	0.007976577
4	0	9	0.0048349053
4	1	9	0.010224
4	2	9	0.0053890944
4	0	10	-0.0004659891
4	1	10	0.003204152
4	2	10	0.003670141
4	0	11	-0.0054926425
4	1	11	-0.0024102926
4	2	11	0.00308235
4	0	12	-0.009508416
4	1	12	-0.006619364
4	2	12	0.002889052
4	0	13	-0.011988193
4	1	13	-0.009688541
4	2	13	0.0022996515
4	0	14	-0.013570398
4	1	14	-0.011924341
4	2	14	0.0016460568
4	0	15	-0.013848364
4	1	15	-0.013013288
4	2	15	0.000835076
4	0	16	-0.014166951
4	1	16	-0.014339134
4	2	16	-0.00017218292
4	0	17	-0.013539106
4	1	17	-0.015392229
4	2	17	-0.0018531233
4	0	18	-0.012827396
4	1	18	-0.016027674
4	2	18	-0.0032002777
4	0	19	-0.011869356
4	1	19	-0.016675502
4	2	19	-0.004806146
4	0	20	-0.011312276
4	1	20	-0.01754111
4	2	20	-0.0062288344
4	0	21	-0.010480344
4	1	21	-0.018714383
4	2	21	-0.008234039
5	0	0	0.03317198
5	1	0	0.07573597
5	2	0	0.04256399
5	0	1	0.030097395
5	1	1	0.07820673
5	2	1	0.048109338
5	0	2	0.024619877
5	1	2	0.07270892
5	2	2	0.048089042
5	0	3	0.023409247
5	1	3	0.06633745
5	2	3	0.042928204
5	0	4	0.022323757
5	1	4	0.05768393
5	2	4	0.035360172
5	0	5	0.018816382
5	1	5	0.046325505
5	2	5	0.027509123
5	0	6	0.013067037
5	1	6	0.03335908
5	2	6	0.020292044
5	0	7	0.0071098357
5	1	7	0.02106525
5	2	7	0.013955414
5	0	8	0.0010828078
5	1	8	0.010384336
5	2	8	0.009301528
5	0	9	-0.005149856
5	1	9	0.0011289716
5	2	9	0.006278828
5	0	10	-0.010847375
5	1	10	-0.005888343
5	2	10	0.004959032
5	0	11	-0.013718426
5	1	11	-0.009843871
5	2	11	0.0038745552
5	0	12	-0.013893783
5	1	12	-0.011453897
5	2	12	0.0024398863
5	0	13	-0.012031227
5	1	13	-0.011171758
5	2	13	0.0008594692
5	0	14	-0.009510577
5	1	14	-0.010605052
5	2	14	-0.0010944754
5	0	15	-0.006925717
5	1	15	-0.009671897
5	2	15	-0.0027461797
5	0	16	-0.0045454353
5	1	16	-0.008795798
5	2	16	-0.0042503625
5	0	17	-0.00321801
5	1	17	-0.009079501
5	2	17	-0.005861491
5	0	18	-0.0035115033
5	1	18	-0.010673597
5	2	18	-0.007162094
5	0	19	-0.0057920367
5	1	19	-0.013886258
5	2	19	-0.008094221
5	0	20	-0.00953649
5	1	20	-0.018320143
5	2	20	-0.008783653
5	0	21	-0.013803884
5	1	21	-0.02361554
5	2	21	-0.009811655
6	0	0	0.04291533
6	1	0	0.04949358
6	2	0	0.0065782517
6	0	1	0.019555584
6	1	1	0.029631317
6	2	1	0.010075733
6	0	2	0.0063981116
6	1	2	0.02181904
6	2	2	0.015420929
6	0	3	-0.0016558021
6	1	3	0.016349748
6	2	3	0.01800555
6	0	4	-0.0059528053
6	1	4	0.010864988
6	2	4	0.016817793
6	0	5	-0.0064232796
6	1	5	0.006502852
6	2	5	0.0129261315
6	0	6	-0.004464403
6	1	6	0.0027153194
6	2	6	0.007179722
6	0	7	-0.00064630806
6	1	7	0.00035476685
6	2	7	0.0010010749
6	0	8	0.0032050908
6	1	8	-0.0008519441
6	2	8	-0.004057035
6	0	9	0.0064678937
6	1	9	-0.0015980154
6	2	9	-0.008065909
6	0	10	0.007933944
6	1	10	-0.0023399591
6	2	10	-0.010273904
6	0	11	0.0071127415
6	1	11	-0.0035907477
6	2	11	-0.010703489
6	0	12	0.004950419
6	1	12	-0.004843086
6	2	12	-0.009793505
6	0	13	0.0024716407
6	1	13	-0.006412193
6	2	13	-0.008883834
6	0	14	-0.0005735308
6	1	14	-0.009129003
6	2	14	-0.008555472
6	0	15	-0.001800999
6	1	15	-0.010847822
6	2	15	-0.009046823
6	0	16	-0.0035894364
6	1	16	-0.013087675
6	2	16	-0.009498239
6	0	17	-0.0047837645
6	1	17	-0.015195027
6	2	17	-0.0104112625
6	0	18	-0.005828887
6	1	18	-0.017181188
6	2	18	-0.011352301
6	0	19	-0.006610319
6	1	19	-0.01902248
6	2	19	-0.012412161
6	0	20	-0.007223338
6	1	20	-0.020927176
6	2	20	-0.013703838
6	0	21	-0.007898293
6	1	21	-0.022739075
6	2	21	-0.014840782
7	0	0	0.039986208
7	1	0	0.050891712
